s,t,x,y
"[(3, 3)]",1.1,"[[208.1384484116401, 206.02396662463508]]","[[188.1564790886269, 325.97253029593344]]"
"[(3, 3)]",1.2,"[[208.13519669160425, 206.0197176957215]]","[[188.15282404646405, 325.9772480804391]]"
"[(3, 3)]",1.3,"[[208.01739887927027, 206.01688654637195]]","[[187.0204153624364, 325.9803916379817]]"
"[(3, 3)]",1.4,"[[208.0109377697864, 206.0154005477741]]","[[187.01315285910832, 325.98204161172873]]"
"[(3, 3)]",1.5,"[[208.00608170525777, 205.98231551823838]]","[[187.00769448003447, 327.1707509604155]]"
"[(3, 3)]",1.6,"[[208.00275231557958, 205.98005309910712]]","[[187.00395213459382, 327.19350019339555]]"
"[(2, 3)]",1.7,"[[208.000873206008, 205.9782229060674]]","[[187.00183995253724, 327.21190327675185]]"
"[(2, 3)]",1.8,"[[208.05832943657498, 205.97684951872486]]","[[186.07902774963662, 327.22571305593726]]"
"[(2, 3)]",1.9,"[[208.0524556942516, 206.04498268919758]]","[[186.07251461004404, 327.94919517647645]]"
"[(2, 3)]",2.0,"[[208.04797450480214, 206.03903211552944]]","[[186.06754561228792, 327.95580237674324]]"
"[(2, 3)]",2.1,"[[208.04533700102243, 206.03441917505955]]","[[186.05181874643915, 327.9609243403055]]"
"[(2, 3)]",2.2,"[[208.0433787213453, 206.03108950821544]]","[[186.0496175745339, 327.9646214251393]]"
"[(2, 3)]",2.3,"[[208.2674358325501, 206.02898715969926]]","[[185.31089681567704, 327.9669557610288]]"
"[(2, 3)]",2.4,"[[208.26027379276402, 206.28499570159192]]","[[185.30295513857823, 328.68269750281456]]"
"[(2, 3)]",2.5,"[[208.25409350191256, 206.2776999757964]]","[[185.29610208054092, 328.69079828840444]]"
"[(2, 3)]",2.6,"[[208.24885201861414, 206.27138751900065]]","[[185.29029002571875, 328.697807304434]]"
"[(2, 3)]",2.7,"[[208.2445087191519, 206.26601478103817]]","[[185.28547392822378, 328.70377290668984]]"
"[(2, 3)]",2.8,"[[208.24102567584205, 206.26154055555344]]","[[185.28161173168277, 328.70874084851613]]"
"[(2, 3)]",2.9,"[[208.24355000541448, 206.25792574553083]]","[[185.25770760341962, 328.7127545411578]]"
"[(3, 3)]",3.0,"[[206.26152391365372, 208.2414587611004]]","[[328.7377029587277, 185.25561635910557]]"
"[(3, 3)]",3.1,"[[206.25927305536027, 208.24015489444844]]","[[328.7399538170212, 185.2543124924536]]"
"[(3, 3)]",3.2,"[[206.25780342361247, 208.51789028835668]]","[[328.74142344876896, 184.59512436110379]]"
"[(3, 3)]",3.3,"[[206.55428970496928, 208.53023475519393]]","[[329.37850726006474, 184.55065058015137]]"
"[(3, 3)]",3.4,"[[206.5696220769323, 208.52302356775664]]","[[329.42437374848396, 184.54353546037356]]"
"[(3, 3)]",3.5,"[[206.5624464556025, 208.51650795649266]]","[[329.43146199645895, 184.537106650282]]"
