s,t,x,y
"[(0, 1), (2, 1), (3, 2)]",82.4,"[[63.21778214224446, 63.21845521099296, 63.60582513036198, 63.83658830644939, 64.20963563278781, 64.39282498544736, 64.61990639021529, 65.16264845522562], [103.21198262432483, 103.21452095128771], [119.73729398746003, 119.73731003244414]]","[[201.36986490685018, 204.35410221318273, 208.81788139524897, 209.38124191926724, 210.7871281586392, 307.0435861680167, 308.1785891295, 311.07069454915063], [237.1657295087619, 274.8356954213141], [239.888346193896, 272.1348163383844]]"
"[(0, 1), (1, 1), (2, 1), (3, 2)]",82.5,"[[63.21814610691504, 63.21882644959439, 63.60846375786601, 63.86302652130681, 64.2184832513328, 64.22090712411736, 64.90738354226357, 65.0431118007866], [64.98246872276707, 65.01179786581329], [102.8850739267312, 102.88942240404228], [119.73692904292744, 119.73694564172321]]","[[201.89145796436134, 205.35967706087797, 208.8445477028495, 210.9670489962594, 211.35525433826865, 305.66680251948907, 307.12482167879455, 310.7003269299733], [301.76213179423877, 301.85055257394686], [237.52605781412808, 274.47488476464343], [239.87988742421908, 272.14331111345564]]"
"[(0, 1), (2, 1), (3, 2)]",82.6,"[[63.218544271187184, 63.21863353772778, 63.47453223017782, 63.86476009686287, 64.22067098076135, 64.3253742144189, 64.83050365008967, 65.0693608170722], [102.66098526914135, 102.66769648052937], [119.73656467614101, 119.73658181813857]]","[[203.17693506401585, 205.0875896329387, 209.50261763890512, 210.80930084205704, 211.44877758640672, 304.91001738535215, 306.1204312805856, 310.394769293078], [237.7502229106749, 274.2499760178172], [239.87131106461428, 272.1519229439816]]"
"[(0, 1), (2, 1), (3, 2)]",82.7,"[[63.2178576471011, 63.21915136543507, 63.435875982469966, 63.817656721355675, 64.21837606526867, 64.22111637564588], [102.65456812861942, 102.66127160438882], [118.74496604419076, 119.2632759703066, 119.7362008966825, 119.73621857096647]]","[[204.76847500201526, 206.0106250327501, 209.60338015871602, 304.77242974570083, 306.2174012874975, 310.12856866939813], [237.7498076292587, 274.2503890744636], [239.8626203311612, 268.22608149501815, 270.4761154632506, 272.1606485825283]]"
"[(0, 1), (2, 1), (3, 2)]",82.8,"[[63.21938435073781, 63.834946339117195, 64.19895117154023, 64.21865461782063], [102.5020687542554, 102.5080930003353], [118.74456303725748, 118.74459167849251, 119.25987225801799, 119.27196827138796, 119.73583771317213, 119.73585590852457]]","[[209.88686669755091, 304.0794060943514, 305.1810249413692, 309.62948472844903], [237.89921671027133, 274.10290719469094], [239.85381843306416, 241.50532843213628, 243.80701333354767, 268.227657986122, 270.4700043728058, 272.1694847883852]]"
"[(0, 1), (1, 1), (3, 1), (4, 2)]",82.9,"[[63.22010517605606, 64.31975261300386, 64.94368336072125, 65.01547553631127], [63.779945887031296, 64.2212617183617], [102.49848541255608, 102.50449293353476], [117.75281526922218, 117.78860295257478, 118.74418851206939, 118.74421755073392, 119.25639520754501, 119.26845456207093, 119.73547513329535, 119.73549383819949]]","[[210.47545987705612, 212.0502975913817, 212.2528732135208, 309.4932980699419], [303.96585840329107, 305.2939745513309], [237.8977582557425, 274.1043535837043], [239.84490857131615, 241.51166628564388, 243.80504863243928, 251.87036481688904, 252.47579262660216, 268.2296742048212, 270.46374407501276, 272.178428328984]]"
"[(0, 1), (1, 1), (3, 1), (4, 2)]",83.0,"[[63.22021707351377, 64.21866768948568], [63.85227111985209, 64.11335287334107], [102.49636736449382, 102.50234453450312], [117.75243720780466, 117.75246509437618, 117.77494290039303, 117.79308885477292, 118.74381425179283, 118.74384369514202, 119.2528478074754, 119.26487034912802, 119.73511316382974, 119.73513236647477]]","[[210.5409054275335, 308.845662684733], [303.39123331676967, 304.14576051243904], [237.89674690060085, 274.10534952991526], [239.83589393739655, 241.51814763446174, 243.8026505840776, 251.85278785400703, 252.5454197655675, 259.68030242830935, 260.0813840289599, 268.2321201812759, 270.45734071908447, 272.187475981285]]"
"[(0, 1), (1, 1), (3, 1), (4, 2)]",83.1,"[[63.219871746790346, 64.21994935251183], [63.79118293351501, 64.15940519669248], [102.23235841166778, 102.24153591591224], [117.75205834100281, 117.75208504140146, 117.77948572147079, 117.79718093004092, 118.74344028987156, 118.74347014534776, 119.2492329415757, 119.2612185382699, 119.7347518106725, 119.73477149895893]]","[[210.4296809568586, 307.6615525838151], [303.22525343271, 304.27109804121767], [238.1791437116576, 273.826130397989], [239.82677771199627, 241.5247664951602, 243.79982917767134, 251.83664420759476, 252.61081785950043, 259.6072158714704, 260.09917950092165, 268.23498615246547, 270.45080024152463, 272.19662453312816]]"
"[(0, 1), (1, 1), (3, 1), (4, 2)]",83.2,"[[63.21983492703393, 64.22039807337936], [63.91034259144153, 64.08920917902938], [102.2299385390034, 102.23899685914895], [117.75167870446568, 117.75170427702159, 117.78364373737729, 117.80090106976832, 118.74306665915265, 118.74309693436054, 119.2455533934794, 119.25750193268377, 119.73439107886797, 119.73441124041385]]","[[210.58644625923407, 306.87296424351047], [302.4781810170796, 303.02769551063534], [238.17740878373405, 273.82779540735646], [239.81756306377505, 241.5315170924763, 243.79659419113008, 251.8218536654704, 252.6721177445028, 259.53864136688657, 260.11557458148656, 268.23826255461347, 270.4441283755165, 272.2058707845532]]"
"[(0, 1), (3, 1), (4, 2)]",83.3,"[[62.21755367997183, 62.38445816645296, 62.49485301849211, 62.53328957031212, 63.21872422075094, 63.39457450071043, 63.55910453460339, 63.85567575237176, 64.16347672530932, 64.21997214423887], [101.66699254434486, 101.69741773155607], [117.75129833360158, 117.75132283377884, 117.78743782150167, 117.80426977497575, 118.74269339186168, 118.74272409454426, 119.24181185110174, 119.25372323769598, 119.73403097263538, 119.73405159478328]]","[[200.89579170802742, 202.12907004884954, 208.8319825706624, 209.26055691286246, 211.08950569136533, 302.2091242439407, 303.1401656115482, 305.54353851928835, 310.79196298343453, 311.21472854937326], [238.75242556592258, 273.2479980437902], [239.80825314814626, 241.53839384997121, 243.79295519887145, 251.80834111287948, 252.72944691086917, 259.4744286383495, 260.130645753043, 268.24194001587244, 270.4373306597596, 272.2152115490857]]"
