s1,s2,t,x,y
"([3], [3], [9], [13], [13], [16], [16], [17], [17], [19], [20], [20], [20], [21], [21], [21], [21], [21], [21], [21], [21], [21], [21], [22], [22], [23], [23], [23], [23], [23], [23], [25], [25], [29], [29], [29], [29], [29], [29], [29], [29], [31], [31], [32], [32], [32], [39], [39])","([1], [1], [17], [17], [17], [18], [18], [19], [19], [1], [18], [18], [18], [19], [19], [21], [21], [21], [21], [22], [22], [22], [22], [2], [2], [22], [22], [26], [26], [26], [26], [22], [22], [32], [32], [34], [34], [36], [36], [39], [39], [28], [28], [29], [29], [29], [42], [42])",0.004,"(127.38804018345434, 88.98380111618454, 72.12172598940705, 88.5231838950607, 76.51274407519315, 122.16095655642891, 162.08224566239642, 126.52381126958065, 122.35339029745757, 198.44302956509034, 186.6065517667999, 155.57791412700232, 170.29265792663261, 168.96783090232492, 242.00204044159238, 260.48178265395813, 299.27910353491484, 372.0745894776803, 385.5441245805321, 411.00316115479916, 402.49288565109913, 369.42403098646616, 400.7621747272252, 214.4953566331754, 260.08944668716833, 443.4838329565606, 398.4149706207951, 477.1494423098396, 439.78343210764524, 493.97297363932523, 497.93187808493076, 298.03238712527747, 340.2030846285162, 556.5250364533321, 523.0708969641443, 540.1511352683607, 562.066017952083, 16.86136861539444, 40.95898930624958, 18.928518524796004, 6.34303668031373, 487.423724265189, 483.6235142342957, 14.277674050507812, 506.1163268536527, 549.6552826073628, 36.98487847512706, 53.6424994203353)","(196.9050856829117, 146.18429595708272, 31.06963922714226, 9.375037161253658, 589.5511963964284, 473.0968342749253, 454.6646322814677, 348.6473771441151, 361.6282536502086, 90.15877846023051, 465.1520515430335, 518.4938497930647, 590.0656553456215, 328.84128374876957, 354.8058028380982, 224.42335169519743, 258.70028841887216, 266.91884974553335, 230.82762535832927, 185.43229086717565, 333.8869775033066, 413.4109318973824, 442.9301162072352, 180.3701844249631, 151.42142969216968, 468.46360564642964, 484.6093659428419, 494.728326900081, 543.7659243045357, 553.2710715164859, 543.1431987089696, 445.4549365787958, 402.34303567832944, 519.6194451933363, 589.0253098029095, 16.789647511341627, 17.896455450371263, 328.31317506291407, 438.1015076272828, 11.068474539285035, 581.0380413115379, 53.42498307312576, 18.075750709699832, 97.58105161050057, 124.66490356603722, 182.8411698575665, 320.8470979769581, 315.8289854461492)"
"([3], [3], [9], [13], [13], [16], [16], [17], [17], [19], [20], [20], [20], [21], [21], [21], [21], [21], [21], [21], [21], [21], [21], [22], [22], [23], [23], [25], [25], [25], [25], [29], [29], [29], [29], [30], [30], [30], [30], [30], [30], [30], [30], [32], [32], [33], [33], [33], [40], [40])","([7], [7], [21], [21], [21], [22], [22], [23], [23], [7], [22], [22], [22], [23], [23], [25], [25], [25], [25], [26], [26], [26], [26], [7], [7], [26], [26], [26], [26], [26], [26], [30], [30], [30], [30], [38], [38], [40], [40], [42], [42], [46], [46], [32], [32], [33], [33], [36], [49], [49])",0.804,"(127.06799041989137, 89.15858847495565, 71.96468878854938, 88.66510319332536, 76.0381299268742, 121.92854998331154, 162.83806866863978, 126.50360683771902, 122.23332857028677, 198.23344975173393, 186.08286809993172, 155.62288607772643, 170.34044375577076, 168.4900696810721, 242.10335873359037, 260.2374431456601, 299.6204691181912, 372.3147133821594, 385.76781226331906, 411.2590436780696, 402.42817430778507, 369.15673284188495, 400.8812534726007, 214.5568009437327, 260.33118077560755, 442.0846530230774, 398.10439217911784, 318.6754247311325, 308.15052804959066, 297.02364990728313, 340.3336892661664, 477.0607982111161, 439.07798540278975, 493.2825446446983, 499.7614598090944, 556.2480186342887, 522.8729730006614, 540.0776212960197, 561.890214413883, 16.47411935669618, 40.60353309255788, 19.281723259180126, 6.178941853991432, 487.563564104908, 483.5656595774169, 14.298836411839375, 506.0406833473879, 549.718171120565, 36.73375535490891, 53.85061761494592)","(196.6411638119016, 146.19557204162797, 31.03848160095174, 9.514555498533923, 589.3400692983877, 473.46815590807034, 454.5878586151182, 348.4847856944818, 361.9787827871045, 90.43846086750676, 464.37592216675614, 518.4056552736807, 590.1801454197971, 328.6243221383201, 354.9634051360671, 224.8146127445013, 258.828157099052, 266.99740176659736, 230.97378022876137, 185.8709556866129, 333.60940518649255, 413.5293207133757, 443.5557384919051, 180.30329077619444, 151.89247556875125, 467.8451102669943, 484.71673666149456, 395.11694003176217, 403.007164108175, 444.7434462645282, 402.47364031597965, 494.79586931578524, 543.8355995519339, 556.4759227613632, 540.8857961359238, 519.9270984412858, 588.7383878160073, 16.764790935176734, 18.753267952129136, 327.9060130187779, 438.57570221534, 10.522719425199739, 580.983893629422, 53.602836690195886, 17.51079234058227, 97.6178758494425, 125.00940484607011, 182.77459243598815, 320.42328217531707, 315.22677313227126)"
"([1], [1], [9], [12], [12], [16], [16], [17], [17], [18], [19], [19], [19], [21], [21], [21], [21], [21], [21], [21], [21], [21], [21], [22], [22], [23], [23], [25], [25], [25], [25], [29], [29], [29], [29], [30], [30], [30], [30], [30], [30], [30], [30], [32], [32], [33], [33], [33], [40], [40])","([6], [6], [19], [19], [19], [20], [20], [21], [21], [6], [20], [20], [20], [21], [21], [23], [23], [23], [23], [24], [24], [24], [24], [6], [6], [24], [24], [24], [24], [24], [24], [28], [28], [28], [28], [35], [35], [37], [37], [39], [39], [42], [42], [30], [30], [31], [31], [33], [45], [45])",1.604,"(126.78300945600404, 89.93366244268998, 71.78741095978188, 88.80140569269713, 75.4215495061286, 121.8006765073041, 163.65961638276008, 126.39608200573355, 122.13036106676748, 197.97787955456243, 185.56042665834264, 155.19295328183557, 170.42156338768007, 168.45391703846275, 242.20365296707467, 259.9973346717563, 299.45470517390913, 372.35845463653044, 386.2271561775541, 410.9495679349602, 402.3052649857153, 369.12929915324514, 400.75396597384315, 214.6214854805291, 260.6345952733804, 441.9137886840648, 397.8410639881848, 320.9271419208519, 305.8873895273112, 295.84554758810026, 340.4545232392476, 477.1408043703732, 438.7586758627481, 493.0512127465464, 500.7734225611548, 555.8806536837045, 522.6995971251516, 539.9121002685137, 561.7812837722217, 16.206228006873175, 40.304250349911854, 19.437786591738018, 6.3305275782954595, 487.69982738258875, 483.67622851012254, 14.949177525910159, 505.87862899608297, 549.7993107441497, 36.47716020742439, 54.00003742459137)","(196.44025419384462, 146.11211671864302, 30.8797446421961, 9.525329345415344, 589.1363501390314, 473.74911819615966, 454.5189766196452, 348.5309448410233, 362.03959721703666, 90.7270947156266, 463.78335152641137, 518.2142902268596, 590.2628804707016, 328.54214011203203, 355.0637019172615, 225.12853098725174, 258.8293570770171, 267.10326711934584, 231.30159209322858, 185.5091840883677, 333.16371771485507, 413.6021486826461, 443.9543938094712, 180.24147938113646, 152.473316993187, 467.665329800124, 484.85667202812226, 393.9130267002505, 404.98103671660635, 443.8325067123194, 402.5944742890608, 494.98990156633886, 543.8247580355335, 557.8062131905991, 539.913945453097, 520.465124793452, 588.1111966768965, 16.82086697649595, 19.40688972126202, 327.59535488085777, 439.0223343252395, 10.383629709691377, 580.8757665504824, 54.425772412971355, 17.325584439086583, 97.58936351595682, 125.3185515312181, 182.5726082360364, 320.11959469459396, 314.865402985023)"
"([1], [1], [9], [12], [12], [15], [15], [16], [16], [17], [18], [18], [18], [19], [19], [19], [19], [19], [19], [19], [19], [19], [19], [20], [20], [21], [21], [23], [23], [23], [23], [27], [27], [27], [27], [28], [28], [28], [28], [28], [28], [28], [28], [30], [30], [31], [31], [31], [38], [38])","([6], [6], [20], [20], [20], [21], [21], [22], [22], [6], [21], [21], [21], [22], [22], [24], [24], [24], [24], [25], [25], [25], [25], [6], [6], [25], [25], [25], [25], [25], [25], [29], [29], [29], [29], [36], [36], [38], [38], [42], [42], [45], [45], [31], [31], [32], [32], [34], [42], [42])",2.404,"(126.28560320011172, 90.71725620271803, 71.65054811947252, 88.94082354653568, 75.01896015654802, 121.60528167945273, 164.52537751538654, 126.34062877083232, 121.97835378434664, 197.88660837677668, 185.08129768354308, 154.8519743704701, 170.42112935703943, 167.94786965552873, 242.11735940052387, 259.7191031072409, 298.766805649517, 372.2073015861026, 386.8048992521035, 410.5935568987682, 402.32174794850897, 368.73929440353714, 400.6257641609117, 214.735014677062, 260.95346236947285, 440.37519926600953, 397.8392113082606, 322.69648555138355, 304.098084994126, 294.84177252868193, 340.92101316929757, 477.06002958351473, 438.05687644857176, 492.8539315969673, 501.9813634321483, 555.3974836852357, 522.2969393973582, 539.8440386862776, 561.7067467732761, 15.744785672485477, 39.81145902505534, 19.785651371308177, 6.621666706370888, 487.868329510168, 483.77153924050367, 15.17071062111495, 505.8432756338873, 549.915307134337, 36.25329604199237, 54.223385761571535)","(196.0562394253098, 146.04237390025116, 30.87728478330712, 9.701842181292818, 588.8893335045261, 474.1705196830429, 454.4672005226016, 348.47667300788726, 362.32415849451553, 90.69186434116509, 463.3745818096496, 518.0290241107413, 590.411172854727, 328.25714811266005, 355.73973003977005, 225.56650032550345, 258.7494757514571, 267.1963813964686, 231.69435118513007, 185.1164005036208, 332.9705515805428, 413.7855599295357, 444.34527443290403, 180.20592667983294, 153.10933464264937, 467.01491993416073, 484.92462063339576, 393.06207690039935, 406.5091621638448, 443.00797308341237, 402.5817079308577, 495.0626133827134, 543.9058033974356, 559.0061173532195, 538.8817933183194, 521.3153331802953, 587.980998113005, 16.771882772796175, 20.017449663244065, 327.09382831787417, 439.65598456272403, 9.925602421121425, 580.7044699403016, 54.58020389689432, 17.16138131281309, 97.62562800231848, 125.56700236019975, 182.22626270150482, 319.942269336189, 314.2769412906941)"
"([1], [1], [9], [12], [12], [15], [15], [16], [16], [17], [18], [18], [18], [19], [19], [19], [19], [19], [19], [19], [19], [19], [19], [20], [20], [21], [21], [24], [24], [24], [24], [28], [28], [28], [28], [29], [29], [29], [29], [29], [29], [29], [29], [31], [31], [32], [32], [32], [39], [39])","([6], [6], [18], [18], [18], [19], [19], [20], [20], [6], [19], [19], [19], [20], [20], [22], [22], [22], [22], [23], [23], [23], [23], [6], [6], [23], [23], [23], [23], [23], [23], [27], [27], [27], [27], [34], [34], [36], [36], [38], [38], [41], [41], [29], [29], [30], [30], [32], [38], [38])",3.204,"(126.1164980850493, 90.94427005610322, 71.50720055067396, 89.06654452538754, 74.60757786318987, 121.401998295608, 165.4379541554888, 126.394626234665, 121.92564203302277, 197.79826438827752, 184.48871684573118, 154.38533536303225, 170.48410581098778, 167.95691699861032, 242.24405924304756, 259.4514197788834, 298.4979560840303, 372.22658874917323, 387.1539694342332, 410.11719975709394, 402.2781662779108, 368.3216843062327, 400.5899008006943, 214.78487494669093, 261.3541096093887, 440.1357936417311, 397.65839702705995, 322.998141902767, 302.9159716227992, 293.84502711568655, 340.98389510218135, 476.9993325503319, 437.24780273748854, 492.67322833274136, 503.12118748539865, 555.1525412735034, 521.993859598142, 539.7762263297166, 561.6164517811611, 15.263791350694873, 39.497530603626046, 20.21612912790897, 6.586085036480995, 488.0286768795105, 483.72728862844167, 15.841597093229666, 505.8415143362598, 550.0455389075073, 36.04546740209457, 54.48046719605259)","(196.02005981909144, 146.0644899999324, 30.84355786733613, 9.759463721281804, 588.6756201361253, 474.6641799685997, 454.4343665227557, 348.06974963127334, 362.1889982784426, 90.65749961030417, 462.72216920388416, 517.796883045771, 590.5007343979913, 328.1855263424318, 355.7891405356223, 225.87036528329133, 258.7624091850852, 267.29074590223024, 231.9012756354407, 184.6294703268391, 332.56805958585596, 414.01873428814247, 445.2445555561683, 180.13784569365112, 153.8794185757452, 466.80357344712843, 485.057824517103, 392.8415143362598, 407.45136219787634, 442.10981772446814, 402.7434546141769, 495.13090862678223, 544.0772158609058, 560.1868206174454, 538.0137930299732, 521.5126379911497, 587.6877715588284, 16.729674846731086, 20.815227450481075, 326.57055861667084, 440.1034694934249, 9.361462881400712, 580.6120220634573, 54.70414230660958, 16.51264451883526, 97.68193052814985, 125.76998609638065, 181.9013727058038, 319.8031640825806, 313.62865696376633)"
"([1], [1], [8], [8], [8], [11], [11], [13], [13], [14], [15], [15], [15], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [17], [17], [18], [18], [21], [21], [21], [21], [25], [25], [25], [25], [26], [26], [26], [26], [26], [26], [26], [26], [28], [28], [29], [29], [29], [33], [33])","([6], [6], [19], [19], [19], [20], [20], [21], [21], [6], [20], [20], [20], [21], [21], [23], [23], [23], [23], [25], [25], [25], [25], [6], [6], [25], [25], [24], [24], [25], [25], [29], [29], [32], [32], [38], [38], [41], [41], [42], [42], [45], [45], [31], [31], [33], [33], [36], [48], [48])",4.004,"(125.60607188607489, 91.72611976880467, 89.22192332710335, 74.06170602077546, 71.38293845891377, 121.14012129582332, 165.68095149287944, 126.32730605777357, 121.84437291193933, 197.7144694790033, 183.96051618486632, 154.07412287844673, 170.5376975164661, 167.81491024902982, 242.31221726227875, 259.216275833382, 297.92755080831677, 372.16533155422854, 387.8782542700444, 409.78149060751474, 402.27971842867055, 368.3740430433027, 400.41026714999305, 214.84557502918722, 261.44788863655685, 439.0102382015044, 397.33955717714025, 301.4350146894235, 292.84492175190167, 324.3924802710943, 341.05070321722127, 436.587259265552, 492.49214878438806, 476.74522224964016, 504.76382476371725, 554.7468947931882, 521.6354960539684, 539.5878839697881, 561.6555478649758, 14.84182947751492, 39.01790118070426, 20.612722873930807, 6.556764363798038, 488.1571737500824, 483.83148362037775, 16.446854730092696, 505.8415143362598, 550.2321579206555, 35.674729397802594, 54.68261924656247)","(195.6587952998289, 146.02092994225296, 9.975628917891072, 588.4092377560467, 30.84151433625982, 475.3692457872171, 454.52478042721316, 348.0338097500005, 362.20314714214345, 90.62357956332929, 462.24815452682094, 517.582795783121, 590.5824717526159, 328.0345018792637, 356.1078659950736, 226.08173633382427, 258.761934241778, 267.36882087893275, 232.34705415461934, 184.33208796568533, 332.20245946000284, 414.0801433874868, 445.6506445944261, 180.07884261805242, 154.132942410504, 466.2621045697339, 485.2556154972207, 408.5947929483709, 441.13421613716537, 392.1288864934886, 402.8946584993288, 544.232664508661, 561.5276066190434, 495.1289583002333, 536.8430366060185, 522.1472473500119, 587.4911907942326, 16.77595321922479, 21.039009208194443, 326.0715577883337, 440.73070558271206, 8.905968890495274, 580.5200443652508, 54.72515527404448, 16.39181811741446, 97.77403277074802, 125.9463534989967, 181.50235060446545, 319.36022564108373, 313.18652037766157)"
"([1], [1], [8], [8], [8], [11], [11], [13], [13], [14], [14], [14], [15], [15], [15], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [17], [17], [20], [20], [20], [20], [24], [24], [24], [24], [25], [25], [25], [25], [25], [25], [25], [25], [27], [27], [28], [28], [28], [32], [32])","([4], [4], [17], [17], [17], [18], [18], [19], [19], [4], [4], [4], [18], [18], [18], [19], [19], [21], [21], [21], [21], [23], [23], [23], [23], [23], [23], [22], [22], [23], [23], [27], [27], [30], [30], [36], [36], [39], [39], [42], [42], [45], [45], [29], [29], [31], [31], [34], [42], [42])",4.804,"(125.46592381624541, 91.95296414242705, 89.33689300564205, 74.00101877192043, 71.2658827564851, 120.98387192821008, 166.62391075070002, 126.2895672037015, 121.7121901871102, 197.62408119686546, 215.1101834924135, 261.85896459523065, 183.70416553484853, 153.67222988200518, 170.33422529354573, 167.44180728597485, 242.40946445748568, 258.8569293051273, 297.52205299375726, 372.1667437069341, 388.1420787521527, 409.30085420692774, 402.3413293345035, 368.2764870235273, 400.25444218396103, 438.7005096107845, 397.0606603513653, 300.1453741494064, 291.88936450427406, 324.6797265705815, 341.150059126284, 436.2013759219974, 492.41368909628477, 476.6790075903225, 505.6066212576168, 554.4590096601867, 521.1680306156729, 539.4613564548945, 561.6448947612021, 14.36318955385093, 38.682450739259025, 20.762858261937026, 6.522865970711564, 488.28699382980506, 483.91905501835186, 16.96238875813765, 505.450971376418, 550.3554957179023, 35.38883594875347, 54.814053478575715)","(195.6666354609825, 146.05132100273377, 9.982345794215007, 588.2297548043422, 30.84151433625982, 475.9283480173085, 454.5269087190511, 347.7881394803861, 362.3618551566584, 90.60414239159024, 180.07566430419536, 154.96510108114418, 462.1614277076078, 517.3294480657804, 591.0326257922598, 327.7094913078609, 356.3713523778732, 226.57271595463374, 258.8117456489809, 267.45122835996835, 232.46959183266165, 183.91255922367134, 332.0172487222409, 414.20547471768316, 446.5176961793687, 465.9705498955967, 485.44415446270204, 409.55264742672676, 440.10273871816423, 391.8726183389434, 403.03900148287795, 544.2761471200469, 562.4508574102854, 495.22218817794885, 536.3248940276735, 522.5013199013182, 587.2078787348041, 16.77674141320699, 21.80861615794072, 325.5323290190852, 441.18133824710696, 8.832532258548554, 580.434169283372, 54.79475171475144, 16.2242851496311, 97.86971442576396, 126.47704287987384, 181.30342321604178, 319.1538128304276, 312.95649952686847)"
"([1], [1], [1], [2], [2], [9], [9], [9], [12], [12], [14], [14], [15], [15], [15], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [22], [22], [22], [22], [23], [23], [23], [23], [23], [23], [23], [23], [25], [25], [26], [26], [26], [30], [30])","([4], [4], [4], [4], [4], [14], [14], [14], [15], [15], [16], [16], [15], [15], [15], [16], [16], [18], [18], [18], [18], [19], [19], [20], [20], [20], [20], [20], [20], [20], [20], [24], [24], [27], [27], [33], [33], [36], [36], [37], [37], [39], [39], [26], [26], [28], [28], [31], [37], [37])",5.604,"(197.55851414426343, 125.10015381468048, 92.70265829830629, 215.3270090535118, 261.9109136782504, 89.51013960978867, 73.22792026309972, 71.1541500470405, 120.90428758311012, 166.83309058557944, 126.2265122564838, 121.54997848105708, 182.82465264863373, 153.28846239759233, 170.40158866937628, 167.4846652668116, 242.52663443622816, 258.5390810402721, 297.00115615041534, 372.25365730365417, 388.9640624422675, 299.2188353724649, 291.03525430592987, 408.9665337150402, 402.4139623018882, 325.31191160959554, 341.24013487142275, 368.07103381597767, 400.0694864452414, 396.54572934964756, 438.15931983353903, 435.4562543609518, 492.36141031241516, 476.23123538703885, 506.8919633373789, 553.9670435329245, 520.659177179264, 539.1720971050337, 561.7207102957326, 13.970122161367385, 38.20587649331674, 21.186244658329088, 6.799937961841465, 488.40009247021726, 484.012558008615, 17.852190759920063, 505.24328130006415, 550.6414940870911, 35.12237327083062, 55.115957721543396)","(90.5663975241471, 195.50279540996206, 146.03929050304322, 180.03167006615672, 155.15490659521714, 10.130577803066672, 587.8943943114857, 30.841611080755683, 476.43274768597155, 454.61221964001413, 347.69002841516993, 362.562089552515, 461.20539712113623, 517.0464828536819, 591.1828282621482, 327.6552857830016, 356.53624053628363, 226.90437572036313, 258.87370943528424, 267.55485844704583, 232.9218529755326, 410.20006758614954, 439.0865059310104, 183.65925017426486, 331.8739129995932, 391.3960471590631, 403.18059116544697, 414.39739688760005, 446.7329244386641, 485.85713519775777, 465.5910426313666, 544.5446846697956, 563.4885163820429, 495.190014022857, 535.5217715313037, 523.3386956273171, 587.0614713317685, 16.873447348066293, 22.01156970993918, 325.0421159707472, 441.7739716239755, 8.403936238337792, 580.1689852270922, 54.819071409655635, 16.14624361692256, 98.04778192633589, 126.90251390198256, 180.77842948011016, 319.00730712609146, 312.33113158356974)"
"([1], [1], [1], [2], [2], [9], [9], [9], [12], [12], [12], [12], [12], [14], [14], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [20], [20], [20], [20], [22], [22], [22], [22], [22], [22], [22], [22], [23], [23], [24], [24], [24], [28], [28])","([4], [4], [4], [4], [4], [14], [14], [14], [15], [15], [15], [15], [15], [16], [16], [16], [16], [18], [18], [18], [18], [19], [19], [20], [20], [20], [20], [20], [20], [20], [20], [24], [24], [27], [27], [33], [33], [36], [36], [37], [37], [39], [39], [26], [26], [28], [28], [31], [37], [37])",6.404,"(197.1795798739123, 124.67973785884439, 93.08053841070856, 215.39143304059968, 262.3321618567511, 89.64445436125004, 73.16893469422695, 70.90122900371631, 120.80507279703954, 167.6640971701379, 182.57654492222423, 153.20675692500942, 170.6217121863328, 126.16273302095234, 121.34381494910951, 167.11048037808672, 242.6693543800617, 258.2727144503714, 296.16336523224436, 372.46323925747225, 389.1553258148717, 298.0388270662347, 290.25809325622106, 408.7561577635513, 402.4924432127747, 325.6552741366608, 341.3263732078876, 367.8082371240152, 399.9085115439353, 396.096748197768, 437.60182457986036, 434.7567947693908, 492.3772588253015, 476.16832925894164, 507.9807696311042, 553.7489915165537, 520.1322620555368, 538.6308753599207, 561.8007233067295, 13.462985382404668, 38.14040806762921, 21.659291015495, 6.771341196851267, 488.5098057069813, 484.0959781942315, 19.412728896389353, 505.2874422123483, 550.6727739867557, 34.63072335751781, 55.43998184507973)","(90.82092650737673, 195.31970714203078, 146.07020151476846, 179.9641804992699, 156.01748022069836, 10.157018957593209, 587.7291886854276, 30.674867636593262, 477.08772363568767, 454.66533116064784, 461.121310969419, 516.8927422537266, 590.9366227787744, 347.6780030022673, 362.81463053069984, 327.266117285728, 356.8816491890803, 227.13276366630572, 259.01878508109843, 267.70635344048554, 232.9894430602027, 411.030778433246, 438.0282285149591, 183.53107936345435, 331.8345909265906, 391.0149878258998, 403.3299422900458, 414.66324434413957, 446.9724927564647, 486.2603467073658, 465.1301567433877, 544.8292284930292, 564.3680549782986, 495.27522484307985, 534.885187957765, 523.5561758994903, 587.039980382242, 17.025497596200353, 22.398546586560883, 324.47289144737744, 441.9843356213147, 7.959869601747755, 580.0722451472653, 54.84897066749181, 16.063105815613426, 98.31850210871295, 127.05323152512705, 180.80376783983274, 318.515057715551, 311.70616287034557)"
"([1], [1], [1], [2], [2], [9], [9], [9], [12], [12], [12], [12], [12], [13], [13], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [15], [20], [20], [20], [20], [22], [22], [23], [23], [23], [23], [23], [23], [23], [23], [24], [24], [24], [28], [28])","([3], [3], [3], [3], [3], [13], [13], [13], [14], [14], [14], [14], [14], [15], [15], [15], [15], [17], [17], [17], [17], [18], [18], [19], [19], [19], [19], [19], [19], [19], [19], [23], [23], [26], [26], [25], [25], [33], [33], [36], [36], [37], [37], [39], [39], [28], [28], [30], [37], [37])",7.204,"(197.00649674979582, 124.2349155178106, 93.69674757725699, 215.7696618566015, 262.35174618567544, 89.76773928766784, 72.89650275500617, 70.84816346958985, 120.69172385041989, 167.87316218797667, 182.05057806616617, 152.7118428691798, 170.7025718747036, 126.10093348775877, 121.25190496692016, 167.05050351746632, 242.79516906627578, 257.83541317579653, 295.5631281140998, 372.4388316379412, 390.1295939356436, 297.1091388294882, 289.8415775796074, 407.9164856217471, 402.57584427296666, 325.9163011936815, 341.22335569302993, 367.8547878448694, 399.7684949760743, 395.8405217729048, 437.47194142426474, 434.00587116681027, 492.4539778515124, 476.14144839725793, 508.9495187741086, 488.67851192740204, 484.18166596994297, 553.20982218602, 519.6720110310475, 538.6017970974075, 561.9093538995538, 13.124781738875754, 37.61194725083658, 21.969351956801574, 6.741807278634269, 21.18777730187378, 505.3605616951488, 551.062958275805, 34.451138995031215, 55.75094313482202)","(90.8770693527741, 195.16244876745395, 146.09088970484348, 179.92822610715768, 156.15703340894999, 10.158459098809317, 587.5028018544309, 30.748825799313067, 478.1744899227979, 454.74459675754053, 460.70621939017997, 516.5302973731401, 590.9681885331815, 347.21411886383805, 362.825780832248, 327.11611871095295, 356.91281885546164, 227.69523544496008, 259.1627692715011, 267.7770698757243, 233.50628373769865, 411.6780701369941, 437.44009848847304, 182.91450071514396, 331.13594239958127, 390.64980262060664, 403.4426451147, 414.71478173996, 447.09155397411246, 486.57033577071684, 464.86258130262786, 545.2094102208453, 564.5552958796319, 495.3545398836268, 534.3495211301461, 55.023391686097284, 15.765610953247005, 524.7554263436538, 587.0565087674635, 16.975613180466894, 22.76726541523226, 324.03165868221146, 442.57219346013494, 7.741520793996415, 579.9874030123177, 98.5168312119525, 127.14520928975693, 180.20194233615894, 318.5132580724306, 311.1627376974275)"
