time,volume,area,avg_Fs,avg_Fp,my_Q
0.01, 26.00000237250463, 42.522075217269766, 2.234667951046917e-08, 0.2012231641489704, -156.448847097069
0.02, 26.0000094525323, 42.52209392626824, 5.502805494483798e-05, 0.20122299949819428, -156.44888580596225
0.03, 26.000021153923285, 42.52214964193427, 0.0002198912949942548, 0.20122260400393077, -156.44903074604122
0.04, 26.00003736544207, 42.52227859408424, 0.0004926323115209008, 0.20122226861030226, -156.44940043843098
0.05, 26.000057944616902, 42.52253068261371, 0.0008708267991766613, 0.20122247167539317, -156.4501580177505
0.060000000000000005, 26.000082709198168, 42.52296897655727, 0.0013516419036502384, 0.20122387833745656, -156.45150963620003
0.07, 26.0001114257492, 42.52366921296615, 0.0019316568686133712, 0.2012273431460753, -156.45370288279187
0.08, 26.000143795664474, 42.5247192948253, 0.002607105489304625, 0.20123391722864697, -156.45702522147184
0.09, 26.00017943889393, 42.52621878691687, 0.0033740084918017234, 0.20124485695079522, -156.46180244999624
0.09999999999999999, 26.00021787556868, 42.52827840811856, 0.004228308411685213, 0.20126160775916913, -156.46839717459943
0.10999999999999999, 26.000258505763945, 42.53101951839855, 0.005165835667434254, 0.20128570395986783, -156.47720729915036
0.11999999999999998, 26.000300587561043, 42.534573598327384, 0.0061828043592082466, 0.2013186108723098, -156.4886645308551
0.12999999999999998, 26.000343213701605, 42.539081718646116, 0.007275827399504558, 0.20136170584525834, -156.50323289359233
0.13999999999999999, 26.00038528708695, 42.54469399704752, 0.008441931313720454, 0.20141643189977002, -156.521407241421
0.15, 26.000425495337684, 42.551569038866894, 0.009679062184968638, 0.2014844550233005, -156.54371176844882
0.16, 26.000462284654276, 42.55987335795642, 0.01098611104563454, 0.2015677227405323, -156.57069850152953
0.17, 26.00049383318617, 42.5697807735922, 0.012363431315548614, 0.2016682745113125, -156.60294576440708
0.18000000000000002, 26.00051802415351, 42.58147177889957, 0.013813062038032465, 0.2017878813559368, -156.64105659793387
0.19000000000000003, 26.00053241892732, 42.59513287588027, 0.015338697114010438, 0.2019281657436258, -156.685657118824
0.20000000000000004, 26.000534230277992, 42.61095587182116, 0.016945308868190973, 0.20209104559662872, -156.73739479688962
0.21000000000000005, 26.000520296010386, 42.62913713166694, 0.018638970588306616, 0.20227856598942848, -156.79693662837138
0.22000000000000006, 26.000487053164584, 42.64987678073317, 0.02042711130839046, 0.20249218720402454, -156.86496718073562
0.23000000000000007, 26.00043051297525, 42.67337785215913, 0.022319585125842645, 0.2027325725693433, -156.9421864823984
0.24000000000000007, 26.000346236793035, 42.69984537368354, 0.024328256798528913, 0.20300028868549572, -157.02930772932947
0.25000000000000006, 26.000229313135918, 42.72948538855842, 0.026465500157331293, 0.2032975274527162, -157.12705477935583
0.26000000000000006, 26.00007433605363, 42.76250390595709, 0.02874585224869828, 0.20362472758216135, -157.2361594045259
0.2700000000000001, 25.99987538498315, 42.79910577693553, 0.031186918767885628, 0.2039805560191432, -157.35735827209948
0.2800000000000001, 25.999626006274475, 42.83949349294057, 0.03380971645500046, 0.20436504140821643, -157.49138962574955
0.2900000000000001, 25.999319196568027, 42.88386590502479, 0.03664022739011517, 0.20477813641858617, -157.63898964049451
0.3000000000000001, 25.998947388199305, 42.932416863297476, 0.03970036585399642, 0.20521970821582855, -157.80088842808007
0.3100000000000001, 25.99850243685869, 42.98533377786006, 0.04300742626712173, 0.20568971632418603, -157.97780567182917
0.3200000000000001, 25.997975611686286, 43.0427961042984, 0.04658223183144841, 0.20618819523322837, -158.17044587955195
0.3300000000000001, 25.997357587986478, 43.104973758566345, 0.05044428853911491, 0.20671520045250874, -158.3794932452065
0.34000000000000014, 25.996638442819705, 43.17202546857041, 0.054612099862744005, 0.20727077310149966, -158.60560611653125
0.35000000000000014, 25.99580765370796, 43.244097072123374, 0.059102431204101885, 0.20785491735258535, -158.84941108040755
0.36000000000000015, 25.99485410069517, 43.321319772997484, 0.06393149345364516, 0.20846757962497844, -159.11149668308047
0.37000000000000016, 25.993766072029103, 43.40380836949089, 0.06911591553366836, 0.20910862147836948, -159.39240681439296
0.38000000000000017, 25.992531273709307, 43.49165947196039, 0.07467714370535682, 0.20977778688299528, -159.6926337963265
0.3900000000000002, 25.991136843169702, 43.58494972814889, 0.08062189743398532, 0.2104746773424383, -160.01261122868894
0.4000000000000002, 25.989569367377186, 43.68373407737325, 0.08695524167136492, 0.21119874883969483, -160.35270665810447
0.4100000000000002, 25.987814905577494, 43.78804405615486, 0.0936832326333841, 0.21194932657072474, -160.71321414780454
0.4200000000000002, 25.98585901691842, 43.897886179563336, 0.1008110123392706, 0.21272562105753598, -161.09434683862798
0.4300000000000002, 25.983686793142045, 44.01324042367047, 0.10834297266034765, 0.21352673587401974, -161.49622960305945
0.4400000000000002, 25.98128289649059, 44.13405883525195, 0.11628178377460281, 0.21435166770677141, -161.9188919045847
0.45000000000000023, 25.978631602910177, 44.26026429514755, 0.12462795566264276, 0.2151993029310702, -162.36226098358566
0.46000000000000024, 25.9757168505623, 44.39174946145259, 0.13337969360068289, 0.21606841376987518, -162.82615549802884
0.47000000000000025, 25.97252229356491, 44.52837591793417, 0.14253274287589016, 0.21695765545493048, -163.3102797519419
0.48000000000000026, 25.969031360784754, 44.66997355172495, 0.15208012503910814, 0.2178655648584963, -163.8142186467631
0.49000000000000027, 25.965227319391904, 44.816340182437344, 0.16201404905638334, 0.2187905606779935, -164.33743348979695
0.5000000000000002, 25.961093342768727, 44.96724146237186, 0.17232793315812495, 0.21973094513878236, -164.8792587899726
