s1,s2,t,x,y
"([2], [2], [3], [3], [3], [3], [3], [5], [5], [5], [5], [7])","([4], [4], [1], [3], [4], [4], [4], [6], [6], [6], [6], [6])",7.007,"(59.15103483654946, 99.3689257993795, 42.25496764358709, 59.83193304757641, 169.79643359316293, 187.75076338560686, 197.74608534029574, 199.14670794203192, 121.06548474606242, 115.25372603359563, 101.16750807593833, 2.6251589011149576)","(26.41052868890003, 59.321504213015885, 154.74937859976106, 0.47351379440448227, 68.16712004394081, 32.09023630979094, 12.962318866665292, 116.97127689398184, 193.28932183989815, 195.73349442419956, 197.56309790588554, 186.2332474720741)"
"([2], [2], [3], [3], [3], [3], [3], [5], [5], [5], [5], [7])","([0], [1], [0], [0], [1], [2], [4], [6], [6], [6], [6], [6])",7.707,"(58.86942649167838, 99.36645032422535, 188.63184122949647, 197.709369555398, 170.0262869644448, 42.255955331007854, 59.89640462511059, 199.00541445144154, 121.11661588897027, 113.43683299902919, 101.78875202130477, 2.36009596040563)","(26.723878198399746, 59.32902596016649, 32.60456397591618, 13.024069661687502, 68.13311425609244, 154.750591911772, 0.7943251659189343, 117.05887639140266, 193.25220701701454, 196.23625208521383, 197.2686226368647, 185.21089169214926)"
"([2], [2], [3], [3], [3], [3], [3], [6], [6], [6], [6], [7])","([0], [1], [0], [0], [1], [2], [4], [6], [6], [6], [6], [6])",8.407,"(58.404186515995974, 98.31153852379697, 189.53239144250264, 197.7127137107504, 170.02562610344714, 42.25358049251655, 59.93431148464961, 198.99249758056578, 122.21600748762975, 112.73187443448707, 102.7928494082691, 1.9465673455324293)","(27.228520162677867, 59.24456330966389, 33.11309915793424, 13.109866512968647, 68.14482308575789, 154.750591687808, 1.0524293694489302, 117.03383779015569, 192.62858793153052, 196.3583660386293, 196.83831016524326, 183.40648142193376)"
"([2], [2], [3], [3], [3], [3], [3], [6], [6], [6], [6], [7])","([0], [2], [0], [0], [2], [3], [5], [7], [7], [7], [7], [7])",9.107,"(58.174189234571486, 98.144936438013, 190.2701870425052, 197.71591275091436, 170.43041294823092, 42.27553600689891, 59.83543214409414, 198.90572605790857, 122.7221146517335, 110.94585498267197, 104.28169403305361, 1.6305949505089927)","(27.45520962497718, 59.245774781628654, 33.525469435467, 13.19186905240597, 68.18994006384521, 154.93910834055438, 1.7985247325203773, 117.05857439426931, 192.28075792731593, 196.5092939960462, 196.3443156773768, 181.41574076849435)"
"([2], [2], [3], [3], [3], [3], [3], [6], [6], [6], [6], [7])","([0], [1], [0], [0], [1], [2], [4], [6], [6], [6], [6], [7])",9.807,"(57.8835397450634, 97.20962559520338, 190.97693053082645, 197.74837340020358, 170.46418367880162, 42.38063577222933, 59.82149765510279, 198.54309706722813, 122.74469025244733, 108.28695779970452, 106.26328494458429, 1.4481155355734927)","(27.745764325423558, 59.31402146023265, 33.92202547896222, 13.298617724124025, 68.20997696257906, 155.34299401370023, 2.014252864555232, 117.19899043218935, 192.25176209489726, 196.24632721457849, 196.0128122921394, 179.7477525214984)"
"([2], [2], [3], [3], [3], [3], [3], [6], [6], [7])","([0], [0], [1], [3], [7], [7], [7], [5], [5], [6])",10.507,"(57.383380077508406, 96.44301956456707, 42.393878702730156, 59.6234712140793, 170.6999539494646, 191.74865822028573, 197.75066208042307, 198.52416875439275, 123.42044242088915, 1.3880634753994343)","(28.318290285078092, 59.43214341645513, 155.33724396246598, 2.7874561967905436, 68.2603940062154, 34.401765846776925, 13.364268941635345, 117.18631328354633, 191.67599563904434, 178.24269318860536)"
"([2], [2], [3], [3], [3], [3], [3], [6], [6], [7])","([0], [0], [1], [3], [8], [8], [8], [6], [6], [7])",11.207,"(56.6955133962734, 95.25904525206079, 42.40274702357476, 59.31618127436886, 170.98226945131205, 192.75022701710145, 197.7321974194894, 198.2080621175679, 123.79114867679587, 1.4668309347118509)","(29.33747016554355, 59.696817044465476, 155.33334304663592, 3.7528101227605646, 68.32936180938191, 35.0812172080784, 13.390698183824409, 117.27270488118363, 191.2834543044013, 176.74230659012116)"
"([2], [2], [3], [3], [3], [3], [3], [6], [6], [7])","([0], [0], [1], [3], [8], [8], [8], [6], [6], [7])",11.907,"(56.32567235790593, 94.04412997732345, 42.536327185130574, 59.331481412098356, 171.45504237040748, 193.7473444858166, 197.73095200638792, 198.0223300481115, 124.0624202170163, 1.6597534724378136)","(30.245489966598306, 60.04956824267401, 155.62968802424257, 3.7723645585924146, 68.55741569830744, 35.87817443489408, 13.424404134006757, 117.3097620431602, 190.95672308302437, 175.50126566015854)"
"([2], [2], [3], [3], [3], [3], [3], [5], [5], [6])","([0], [0], [1], [3], [9], [9], [9], [6], [6], [8])",12.607,"(56.1494531896295, 92.33545175104192, 42.60698215960893, 58.97690017617137, 171.77096291657847, 194.57582026468071, 197.75829519906398, 197.2468670811959, 124.43963847790369, 1.9243958455027155)","(32.023183286293865, 60.56102623531103, 155.7424214958422, 4.750858734841614, 68.73012078415873, 36.66962528112393, 13.485958936730064, 117.4226150099234, 190.37623701336585, 174.41422067403272)"
"([2], [2], [3], [3], [3], [3], [3], [5], [5], [6])","([0], [0], [1], [3], [9], [9], [9], [5], [5], [8])",13.307,"(57.281897014721864, 90.80161446716163, 42.62774453054065, 58.99176786806561, 172.12949766402983, 194.74796832825004, 197.87162262540622, 197.24505256985012, 124.94062247699904, 2.4603643838389644)","(36.1005132246211, 60.922774674522955, 155.7497833632072, 4.7549878130990635, 68.96672562335125, 36.83085446021246, 13.671086760430647, 117.40722085767972, 189.4795297260573, 172.87749196130187)"
"([2], [2], [4], [4], [4], [4], [4], [6], [6], [8])","([0], [0], [2], [3], [7], [7], [7], [5], [5], [6])",14.007,"(59.36280940379679, 89.24923440093623, 42.784344709908375, 58.63519918862765, 172.67796495689467, 195.033016842907, 198.07110470713, 196.5182348427288, 125.15711895598884, 2.7653476360659113)","(40.21726004544614, 61.096394488597, 155.99484381492965, 5.753377915465904, 69.45034200821979, 37.1110986081244, 14.030653956827145, 117.44434270692257, 188.99272827880725, 172.19837171576447)"
"([2], [2], [4], [4], [4], [4], [4], [5], [5], [7])","([0], [0], [3], [4], [7], [7], [7], [6], [6], [8])",14.707,"(61.72340464258839, 87.31945047778893, 42.82839285419672, 58.639536717974366, 173.26367175719477, 195.57018452730028, 198.34711692216197, 196.22322322091048, 125.7106820764244, 3.75071281182602)","(43.918405297452935, 61.061117129421135, 156.02611884593594, 5.776962253861882, 70.0767319689634, 37.69825585583389, 14.600086652557533, 117.43840516097985, 187.80469869845854, 170.42028452397122)"
"([2], [2], [4], [4], [4], [4], [4], [5], [5], [7])","([0], [0], [2], [3], [6], [6], [6], [5], [5], [7])",15.407,"(64.3655433137523, 86.06955420960242, 42.845936054512066, 58.28804422653296, 174.1569860439353, 195.7152392613359, 198.49585931122226, 195.7159628117784, 126.13414631952028, 3.787855084767642)","(47.35111486031013, 60.92399955219507, 156.02995180874132, 6.751959602131677, 71.36194431711353, 37.8251564902685, 14.932025509745984, 117.41921173483928, 186.97476391489462, 170.3705570071076)"
"([0], [2], [2], [4], [4], [4], [4], [5], [5], [7])","([0], [4], [4], [2], [7], [7], [7], [6], [6], [8])",16.107,"(58.203584964117056, 66.63179968987065, 83.93906369107688, 42.979047791259205, 175.3437363677105, 195.71697371795145, 198.6873683961667, 195.10158737217927, 126.87455658656759, 4.750782787706015)","(7.0249386306764485, 49.84478755434322, 60.50025193860185, 156.15976428028, 73.81616494030527, 37.80415222141983, 15.35559065805769, 117.3738238828597, 185.8773667519557, 169.00191836443145)"
"([0], [2], [2], [4], [4], [4], [4], [5], [5], [7])","([0], [4], [4], [2], [7], [7], [7], [6], [6], [8])",16.807,"(57.945607925808204, 68.82198520037413, 82.12752253571672, 43.26537430977993, 177.14150126366656, 195.74886652578903, 198.87774043850854, 194.76191647398025, 127.5414584190878, 5.748829936944844)","(7.757679994645624, 51.9400338299002, 59.98204959416965, 156.39839883615892, 76.91626537896133, 37.81682065935741, 15.803719284095049, 117.33145311594951, 185.08343605820116, 167.83300158046703)"
"([0], [2], [2], [4], [4], [4], [4], [5], [5], [7])","([0], [4], [4], [2], [7], [7], [7], [6], [6], [8])",17.507,"(57.82637690947736, 72.03066757667457, 78.65534260058628, 43.34613596238286, 178.37631103480527, 195.74895371202712, 198.8800627641856, 193.86501683792187, 128.3035178306765, 6.469143154948313)","(8.152193224734443, 54.57784480784032, 58.595719815268325, 156.44654411274385, 78.18073799326798, 37.80459790949119, 15.83818460997858, 117.20087895807946, 184.3125433276282, 167.09427214053622)"
"([0], [4], [4], [4], [4], [4], [5], [5])","([0], [2], [2], [8], [8], [8], [7], [7])",18.207,"(57.636257949330115, 7.408521207922206, 43.70381015917367, 180.22330800177127, 195.75058685153115, 198.8755739679282, 193.38094744161566, 129.12635240208172)","(8.775681020988507, 166.23914725572942, 156.69727648054888, 79.35591577422595, 37.797701753187, 15.842206126411721, 117.104358854342, 183.54548108504468)"
"([0], [4], [4], [4], [4], [4], [5], [5])","([0], [2], [2], [8], [8], [8], [7], [7])",18.907,"(57.484738034161936, 8.269505531833516, 43.838905284151174, 181.68113915750322, 195.7505873262391, 199.08272331684446, 192.92036681941914, 129.5899227103923)","(9.30259099430138, 165.54776068126972, 156.77216619369293, 79.83106109038923, 37.79266811055108, 16.424655064493148, 117.00320410508111, 183.11915042283192)"
"([0], [4], [4], [4], [4], [4], [4], [4], [5], [5])","([0], [2], [2], [2], [2], [8], [8], [8], [6], [6])",19.607,"(57.29837690719786, 9.094104739796691, 28.56002562309365, 33.579646463023835, 43.86898049589654, 183.77933361328704, 195.75066208042307, 199.17613795124814, 192.2539226029698, 130.46358414184255)","(9.981995333755734, 164.9535687670784, 163.49795842041897, 165.9268607055905, 156.78106556705472, 79.97774172742113, 37.79021710035002, 16.753490821106592, 116.84408384781541, 182.38194894463686)"
