s1,s2,t,x,y
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",42.707,"(16.548206810313307, 16.321765445308657, 39.526606984337306, 57.61083653731228, 57.53864603182494, 198.33531321290548)","(64.80568175089248, 61.57119322953287, 25.9356135581841, 152.223202795647, 181.60077405618728, 78.37897227053963)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",43.407,"(16.720271921682755, 16.243709111095395, 39.32252278763262, 58.25388226663067, 57.77408279973848, 198.9148439644403)","(67.695723916066, 59.39848289629725, 26.23368469365517, 151.3997765973138, 181.7635271683914, 79.80730982867219)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",44.107,"(16.77018057370365, 16.263416134508777, 39.020244035809036, 58.36414184150199, 58.525645074721865, 199.40363838956992)","(69.97415341925925, 58.3890897152648, 26.714485540913003, 151.22695324434775, 182.27734122622948, 81.1265355597379)"
"([0], [0], [0], [4], [4], [5])","([0], [0], [0], [1], [1], [4])",44.807,"(16.72693827772422, 16.41420764884614, 38.98557563205473, 58.46024684095997, 59.108455010423555, 199.53940885321236)","(71.64357524872229, 56.79888049086132, 26.80406880551719, 151.07749995705908, 182.68682897678852, 81.4811222814482)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",45.507,"(16.5339634460244, 16.546795362536322, 38.72841939692028, 59.00495271477446, 59.43954708428427, 0.15048309327778497)","(74.01103319014892, 56.129576696536006, 27.394122652530882, 150.19405374338345, 182.92416189006406, 82.92418255976513)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",46.207,"(16.25788511365928, 16.68093032499609, 38.60075233780669, 58.99693497753405, 60.14242071694265, 0.5976622258840791)","(75.75793186898301, 55.66991973938977, 27.753228030958972, 150.19303045214235, 183.43923324382524, 83.82629873142739)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",46.907,"(15.655624561458794, 16.829852473475597, 38.58779743946078, 59.377461997444755, 60.392795185485156, 0.8705486805947089)","(78.16591235683987, 55.23042025757931, 27.809083479374152, 149.39156791071267, 183.6324744230591, 84.40260133533577)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",47.607,"(15.087955768370385, 17.006324139498233, 38.36215624261394, 59.52627128278033, 60.93209799509265, 1.2761032677100843)","(79.76574818603268, 54.798138504768346, 28.750705795319135, 149.04455777830492, 184.0554662279281, 85.15603494957071)"
"([0], [0], [0], [3], [3], [4])","([0], [0], [0], [1], [1], [4])",48.307,"(14.207436893777874, 17.237868548163235, 38.366944535326645, 59.696391822775894, 61.30542181999559, 1.578768564347115)","(81.61593949351955, 54.376450501143566, 28.78799641679528, 148.58344718931096, 184.35994109403134, 85.62423235042007)"
"([0], [0], [0], [3], [3], [5])","([0], [0], [0], [1], [1], [4])",49.007,"(13.495597971138295, 17.659133008229958, 38.303366993216784, 59.905467812667126, 61.60193547797954, 2.3959497533066383)","(82.80450112062344, 53.735223861653274, 29.37899525073321, 147.9831687417421, 184.6122814631718, 86.58766780397829)"
"([0], [0], [0], [3], [3], [5])","([0], [0], [0], [1], [1], [4])",49.707,"(12.266755831533729, 17.784638330936986, 38.28700710622937, 60.06041705244988, 62.04212452950921, 2.568082217975018)","(84.42024391684508, 53.59783068387867, 29.790388647275975, 147.40257180813467, 184.99913038702263, 86.74920172854252)"
"([0], [0], [0], [3], [3], [8])","([0], [0], [0], [1], [1], [4])",50.407,"(9.909160365641966, 17.91631984837528, 38.28776761833745, 60.19711403737614, 62.389284467671075, 4.40837136435448)","(86.53550011720718, 53.450434975977075, 29.98112388758056, 146.77600086433188, 185.31942669385214, 87.74923432546255)"
"([0], [0], [0], [2], [2], [7])","([0], [0], [0], [1], [1], [4])",51.107,"(7.168936777222093, 18.750662080423076, 38.31153564197764, 60.2812647595635, 62.81180202848492, 6.734409918549034)","(87.7864935504936, 52.738163080433594, 30.4126174241389, 146.2951664603223, 185.72826991962967, 87.87046402246932)"
"([0], [0], [2], [2])","([0], [0], [1], [1])",51.807,"(18.750782787706026, 38.35150460994976, 60.3556762765222, 63.10354483596251)","(52.765508262090925, 30.859231386644304, 145.79427361293708, 186.0275321409683)"
"([0], [0], [2], [2])","([0], [0], [1], [1])",52.507,"(18.754908399963103, 38.42931431648598, 60.46043612367515, 63.60591184058836)","(52.775271085839705, 31.354797201807656, 144.83931102188134, 186.57283619135393)"
"([0], [0], [2], [2])","([0], [0], [1], [1])",53.207,"(18.92634988146513, 38.518878618174014, 60.47147097011707, 63.74070921452714)","(52.67034843918841, 31.784943590091054, 144.66827179154527, 186.73468174882007)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",53.907,"(19.753389617434095, 38.60716803730929, 60.54149304770843, 64.01504378744733)","(52.34902005427961, 32.119014354328975, 143.6253996823893, 187.061251660873)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",54.607,"(19.78701318061567, 38.674828943351145, 60.57540171668613, 64.45011558791117)","(52.35460794366189, 32.32121100659809, 142.7582303807441, 187.61852332807692)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",55.307,"(19.97607246796218, 38.89927692649031, 60.57505106305548, 64.54398719739328)","(52.30839473224448, 32.964884667070464, 142.59182242336206, 187.75311351016035)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",56.007,"(20.390716933086974, 38.966247831887394, 60.58411472029317, 64.8226239384525)","(52.27936509080095, 33.10382140549291, 141.58486406833288, 188.14566211597614)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",56.707,"(20.776704494654048, 39.21038661763408, 60.574257282827546, 65.16875411192694)","(52.27987177169285, 33.6460504769857, 140.77911809753738, 188.6746730112297)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",57.407,"(20.980499535996778, 39.460262611326655, 60.565940527132156, 65.20459526785821)","(52.29841274873436, 34.13559284126802, 140.6005260715958, 188.73954597372003)"
"([0], [0], [2], [2])","([1], [1], [2], [2])",58.107,"(39.56295665244626, 21.37439198559234, 60.535025171747876, 65.68049890764392)","(34.29153545221289, 52.38947800769304, 139.6316326117927, 189.57370010980551)"
"([1], [1], [2], [2])","([1], [1], [2], [2])",58.807,"(39.75818797587118, 21.367845658414968, 60.50012304081869, 65.76482152171748)","(34.59311602702875, 52.405355275526944, 138.83450621425675, 189.74817518667368)"
"([1], [1], [2], [2])","([1], [1], [2], [2])",59.507,"(40.054895741800195, 21.775930267932985, 60.48893077844893, 65.76602211078777)","(35.03322445045823, 52.53867212577402, 138.67412385557796, 189.75164750495378)"
"([0], [0], [1], [1])","([1], [1], [2], [2])",60.207,"(40.297077630830806, 21.786446198738165, 60.44526109584588, 66.23050568436898)","(35.347946493086084, 52.55611585376854, 137.8500479068275, 190.73843815334482)"
"([0], [0], [1], [1])","([1], [1], [2], [2])",60.907,"(40.348707710184435, 22.237373560293598, 60.39426845586101, 66.23007447260036)","(35.402504005082406, 52.78599562280285, 136.88601440426967, 190.75064038278038)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",61.607,"(40.66954153738317, 22.26004945668972, 60.378473826200434, 66.60206267636165)","(35.790487248093825, 52.814823450505344, 136.64675887254927, 191.70505075413044)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",62.307,"(40.96924579865629, 22.74654086813912, 60.33537017606359, 66.60960053975114)","(36.11417355109739, 53.154562912560124, 135.92755696473154, 191.75060459079998)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",63.007,"(41.29615404954024, 22.737834317189225, 60.30400679171167, 66.82534339814448)","(36.441231207593276, 53.16631874431804, 135.31273631207986, 192.43021985627453)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",63.707,"(41.58493298732973, 23.235411358946266, 60.2727486037882, 66.90957505369082)","(36.71424537563965, 53.6256848934466, 134.71988493354846, 192.74391152192527)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",64.407,"(41.8207151438648, 23.22468119210003, 60.23331864902198, 66.99021272706086)","(36.92449834889734, 53.63904866350701, 133.9995366854794, 193.06127365650897)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",65.107,"(41.824436039783215, 23.4652899678292, 60.20963112964836, 67.14196060765167)","(36.92121833767409, 53.93724249077051, 133.35878160215907, 193.71395231266257)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",65.807,"(42.72689721617623, 23.66148186839966, 60.185027934074455, 67.1642178247173)","(37.572966847133664, 54.202247060784075, 132.87484408182078, 193.84184578606184)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",66.507,"(42.750618279855296, 23.7228383419992, 60.15443325570271, 67.2937415856363)","(37.57516072338645, 54.29931663626982, 132.0722953175549, 194.5686393873548)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",67.207,"(42.77543751753946, 24.058236379225363, 60.135760466178866, 67.3331953257574)","(37.58701798676472, 54.823548856019656, 131.39403110714332, 194.85868071399727)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",67.907,"(43.750036303737566, 24.16595768946197, 60.11529888854422, 67.3776021059213)","(38.16987237744673, 55.048028078183705, 131.09377140520772, 195.23444979193235)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",68.607,"(43.7507489145825, 24.336685686967655, 60.09561536361524, 67.42641199468517)","(38.15753891605586, 55.41846873312045, 130.4131670148312, 195.75852563460495)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",69.307,"(43.85453762651895, 24.547601982958795, 60.07568492681972, 67.45652995117689)","(38.20500861657857, 55.91161740406456, 130.11211240227578, 196.24440917701347)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",70.007,"(44.64528022323853, 24.668233883710457, 60.05141889053006, 67.47329535192276)","(38.55532310245701, 56.23838516616213, 129.43424788560887, 196.77887299994543)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",70.707,"(44.784872620079234, 24.87402529429135, 60.02095900273463, 67.47255242468253)","(38.60405259070615, 56.842651155177734, 128.9630681442091, 197.25218457782836)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",71.407,"(44.971469576112554, 24.950370071461563, 59.995831732482316, 67.46001488389994)","(38.67307849377482, 57.09916065891716, 128.4385082487575, 197.61476132689845)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",72.107,"(45.4449877419316, 25.130568995413853, 59.96032300355594, 67.43284007259537)","(38.84080764351994, 57.80031703305333, 127.99711477430239, 198.12264471063472)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",72.807,"(46.08758164245674, 25.33507943112393, 59.92608062794193, 67.41834588614198)","(39.03854033600448, 58.75348921501802, 127.47604010429606, 198.25125209703305)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",73.507,"(46.083450019278516, 25.338154232453398, 59.87921667447844, 67.37197252003604)","(39.0291475263286, 58.80909886868072, 127.0365023303728, 198.71885026976946)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",74.207,"(46.62621956997791, 25.500513921114667, 59.83101678613005, 67.32757468251656)","(39.13400231584057, 59.75281584673462, 126.57614731847539, 199.0730901020873)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",74.907,"(47.124966893821835, 25.59040774545045, 59.760931394417725, 67.23441873684482)","(39.21082384523081, 60.363999968995245, 126.09333287968755, 199.653295420511)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",75.607,"(47.27864755197766, 25.66984414573441, 59.74643307577381, 67.17613805068127)","(39.22006183466476, 60.97066889908453, 126.0653729148276, 199.95492795139998)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",76.307,"(47.67944423855438, 25.762909774616574, 59.666375057194216, 67.03784260388105)","(39.25157511799871, 61.70500689289612, 125.61574136950293, 0.559272551990432)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",77.007,"(48.03304526812131, 25.850298783442923, 59.56711438265738, 66.97518692063571)","(39.26931204886485, 62.44825701790434, 125.18639847262367, 0.7904041698332378)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",77.707,"(48.274107595154284, 25.904710516007007, 59.46637161377801, 66.96595912511458)","(39.263853893066646, 62.978478481901675, 124.83020695897278, 0.8202174325560634)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",78.407,"(48.69102578031324, 25.967448799532782, 59.39359243313177, 66.7440893147876)","(39.250709902949225, 63.5516503473895, 124.62770545809988, 1.56963195061374)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",79.107,"(49.006581690984724, 26.024667113151487, 59.27728518095711, 66.73373163428472)","(39.23128932567875, 64.13756648925121, 124.32530774131979, 1.5876767619116663)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",79.807,"(49.22310402599074, 26.123921842340145, 59.153735519750484, 66.46810473633244)","(39.19508996347933, 65.16942912743062, 124.05257661239699, 2.305980793246448)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",80.507,"(49.87901318129306, 26.16354431204742, 59.122677973394076, 66.45860331815848)","(39.08103920820823, 65.64680823698386, 124.01509542149182, 2.3127697964422396)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",81.207,"(49.92657555507611, 26.21009812173348, 59.05003411464517, 66.16215149298753)","(39.06105254384158, 66.24361309256933, 123.88710986985132, 2.9674831649301723)"
"([0], [0], [1], [1])","([0], [0], [1], [1])",81.907,"(49.92457364294929, 26.273201885161058, 58.852174204241265, 66.14041645314045)","(39.05646430385368, 67.13521252150834, 123.56125781568002, 2.9948566322184433)"
"([0], [0], [1], [1])","([0], [0], [0], [0])",82.607,"(50.668170969639476, 26.30514298290101, 58.74721618315613, 65.8404735884326)","(38.84541491933099, 67.70482059663654, 123.42734905348078, 3.541657768794124)"
"([0], [0], [1], [1])","([0], [0], [0], [0])",83.307,"(50.68581663615687, 26.326711705132077, 58.725776499640816, 65.78243463212318)","(38.829868370334644, 68.1882991280829, 123.417262793372, 3.624451759836404)"
"([0], [0], [1], [1])","([0], [0], [0], [0])",84.007,"(50.68304583596301, 26.363301779137387, 58.68775907660151, 65.71496696212299)","(38.82646799952217, 69.21779932766943, 123.37808861940343, 3.7273474597508027)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [0], [2], [2])",84.707,"(51.233507210589636, 26.359421579323723, 58.236985912097325, 65.49721051790632, 129.60070387893163, 129.7321199725739)","(38.602640313372625, 69.29666956846033, 122.91480724126325, 4.057254744685139, 171.54410485954566, 170.39268341796227)"
"([0], [0], [1], [1], [1], [1], [1], [1])","([0], [0], [0], [0], [2], [2], [2], [2])",85.407,"(51.3767902911548, 26.3629228580957, 58.216102181518124, 65.35467732286293, 129.32379422298024, 130.7826349557961, 131.42011047066015, 132.73231016273567)","(38.52263623454929, 70.21985642793338, 122.92951755016003, 4.241349242511603, 174.4209163053009, 164.44307730128747, 162.29627245114722, 158.38743712772398)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [0], [2], [2])",86.107,"(51.43821299732513, 26.346854855368143, 58.20332632599181, 65.1909553940153, 129.16041326879596, 133.58659690282835)","(38.482605157573296, 70.87940466943357, 122.94222349834851, 4.44237576504122, 176.7893747938554, 154.3844691305342)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [0], [2], [2])",86.807,"(51.72744181380555, 26.327896857856068, 58.194944437321, 64.95639137587884, 129.09834800868828, 133.7506101922305)","(38.31531782537419, 71.24903666320206, 122.95060527393579, 4.714689815115179, 178.84392940705706, 153.44979513690535)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [1], [3], [3])",87.507,"(51.971085382517415, 26.270415039126583, 58.01717524358182, 64.86811161550133, 129.09347528796954, 134.26724086942875)","(38.16178190038074, 72.17653129751265, 122.84886318088519, 4.803390344306564, 179.85536928507688, 150.44710970555028)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [1], [3], [3])",88.207,"(52.15203646455152, 26.264570818125577, 58.0120385729482, 64.57195002289211, 129.11510947785192, 134.58935467400116)","(38.01702254992588, 72.169409205308, 122.85878289738667, 5.095737392644537, 181.80983714724437, 148.39840233907123)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [1], [3], [3])",88.907,"(52.14349966159798, 26.175446003853367, 58.00909615093161, 64.51115925625977, 129.14553330146657, 134.75225719216724)","(38.01259671218324, 73.05689830792798, 122.86446662314788, 5.139287360874391, 182.7772067175207, 147.4461583010344)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [0], [1], [2])",89.607,"(52.14126936272697, 26.12792378848902, 135.02061063839193, 57.641972585159735, 64.3186199426693, 129.22244935251928)","(38.00928643195708, 73.38117661734468, 145.87795775492765, 122.73647747264098, 5.295156728146338, 184.40897107440318)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [0], [1], [2])",90.307,"(52.47162864853834, 26.009136797790028, 135.1484671879721, 57.57823854006483, 64.16697438058725, 129.28593958811453)","(37.688888268510304, 74.14099852471415, 145.17507020361634, 122.73606411984221, 5.407689015589881, 185.36193832958665)"
"([0], [0], [1], [1], [1], [1])","([0], [0], [0], [0], [1], [2])",91.007,"(52.46312288103022, 26.004876684271515, 135.4254627575271, 57.604888260430656, 64.08151345802804, 129.3563225789291)","(37.68429334242329, 74.13263774757111, 143.7990142922908, 122.75993728648547, 5.464813702165628, 186.26215061693998)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",91.707,"(52.70248757570494, 25.83879829630608, 57.58892399634601, 63.77843680926101, 135.77805365912891, 129.43490898858485)","(37.412101326849964, 74.89388492045356, 122.76860344422431, 5.654892157994993, 142.4669649769415, 187.1508053193278)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",92.407,"(52.68752246500194, 25.686052919417918, 57.340362131488206, 63.77483727938322, 135.86065409758993, 129.54381840764884)","(37.40832529733891, 75.46714327458855, 122.7404602537624, 5.646848684469916, 142.22305851321065, 188.28293174995343)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",93.107,"(52.67550263819039, 25.625397079510513, 57.33655209278429, 63.451313622970034, 136.20727070999186, 129.63841097025616)","(37.40529290869705, 75.66510760663301, 122.7568159165285, 5.811517401394468, 141.30724747542274, 189.18393110370525)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",93.807,"(52.667737243786014, 25.48760238410098, 57.25852273022372, 63.286211367522085, 136.75120989609576, 129.73672881212323)","(37.40208778271412, 76.11216674395565, 122.76547257759594, 5.8781946984326225, 140.10665790456733, 190.0810165790516)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",94.507,"(52.754734598611044, 25.28236527177858, 57.24926485340467, 63.25158684946102, 136.80528085193038, 129.84032368703916)","(37.264996844077785, 76.69568613335285, 122.77842820038276, 5.880379913631913, 140.00175581627678, 191.0134036063204)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",95.207,"(52.74326461734296, 25.036821317345762, 57.24933791957692, 63.248708839917526, 137.75066208042307, 129.93741584732268)","(37.263925445405796, 77.31116086814906, 122.78841549111027, 5.873048777042271, 138.3562536144927, 191.91542674397672)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",95.907,"(52.7516398210495, 25.01111678957517, 57.24933791957692, 63.24869329431601, 137.79102084886335, 130.01894868115505)","(37.235238560839235, 77.35272952763533, 122.7948889143249, 5.869166714963967, 138.30107965458123, 192.74083898708568)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",96.607,"(52.79600649387875, 24.81250357902079, 57.23518868027833, 63.24869507724816, 138.75066208042307, 130.09434750049923)","(37.14473876415174, 77.7709917657897, 122.79924702324294, 5.869611950439577, 136.9416920058144, 193.63432587446442)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",97.307,"(52.79181719721853, 24.55838051305946, 57.148584741795645, 63.24871309071315, 138.84706305898857, 130.16141386510824)","(37.14370081935419, 78.25251926434026, 122.81146619602038, 5.874110289682903, 136.82903819990372, 194.68322939387528)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",98.007,"(52.913757393119546, 24.375531915415124, 56.874469597110846, 62.48522696271134, 139.75066208042307, 130.19517095348496)","(36.85323354942355, 78.56183642279352, 122.87659586269908, 6.020990351428509, 135.75681686058664, 195.64789405048282)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",98.707,"(53.09186898120436, 24.171720482474342, 56.49242933637797, 62.29046598986422, 139.90505149995673, 130.1929192889034)","(36.248849325705656, 78.89479345289183, 123.01603422013244, 6.025892771583244, 135.59490987549594, 196.65025098779645)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",99.407,"(53.098767246835024, 24.163600532236977, 56.456743215784456, 62.24933791957692, 140.71777668670245, 130.13901052488583)","(36.170472277593994, 78.89612572205301, 123.0455475557466, 6.009447766328805, 134.76035178255094, 197.70668016400873)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [0], [1], [0], [2])",100.107,"(53.146166274200965, 23.979801300918425, 56.45990191693839, 62.24933791957692, 140.9077828975312, 130.02520452174332)","(35.85326697422531, 79.16092869878904, 123.05598221978252, 5.992293834856525, 134.58388185807163, 198.73200298738325)"
"([0], [0], [0], [0], [1], [1], [1], [1])","([0], [0], [0], [1], [0], [0], [0], [2])",100.807,"(53.18223230710562, 23.708935046322495, 56.08599601195735, 62.20011726976996, 141.71400659471877, 110.46922680429813, 115.34453533276609, 129.73881423293983)","(35.34237832635511, 79.50378661177004, 123.23579939506845, 5.9797931815517416, 133.85699236870468, 12.615528497342094, 10.861733732261932, 0.07883347892641268)"
"([0], [0], [0], [0], [1], [1], [1], [1])","([0], [0], [0], [1], [0], [0], [0], [2])",101.507,"(53.18769219601061, 23.250690317803134, 56.06738942702661, 62.20119196495921, 141.87172544721585, 110.0048234042386, 119.9094676209888, 129.7377083548181)","(35.11563261616079, 80.05245029404459, 123.25948143998957, 5.969475883391709, 133.72946380998826, 12.804370030652937, 9.074585835373956, 0.11674363565080625)"
"([0], [0], [0], [0], [1], [1], [1], [1])","([0], [0], [1], [2], [0], [0], [0], [3])",102.207,"(23.245329825275434, 55.678089829941825, 53.169280193317825, 61.95540388131248, 142.6919321543753, 107.88377300660032, 123.62263658821968, 129.16294436393432)","(80.04493884747986, 123.53874918302071, 34.69891225008795, 5.941032425516767, 133.08334094719427, 13.750578734405927, 7.219300289835797, 1.6915076265345874)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",102.907,"(23.19948021534482, 55.68578806297006, 53.10969322187596, 61.95570032255716, 142.80458839701643, 107.90739690549819)","(80.08540080114739, 123.54999316853477, 34.00978404660559, 5.930579412247454, 133.00262803344387, 13.750673258291005)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",103.607,"(23.013438659534373, 55.565079114270915, 53.016903682030815, 61.91757781523245, 143.61870192517532, 106.42449472404418)","(80.26606011228017, 123.65666229714958, 33.594078358320644, 5.914539896908025, 132.4533252536209, 14.730878966545038)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",104.307,"(22.248904117395377, 55.152887967270715, 52.86755285507616, 61.544157805214766, 143.99988826878854, 106.46689227006982)","(80.92181365054259, 124.01736855193766, 32.98058376203962, 5.799147406803144, 132.21200643115228, 14.750662080423076)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",105.007,"(22.248840933362125, 55.02971762035456, 52.62795274858544, 61.36281623964143, 144.52836806069445, 106.51022454476556)","(80.90603527495871, 124.14394511124328, 32.327315680365786, 5.726967089095666, 131.90972300850845, 14.750662080423076)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",105.707,"(22.236800613784403, 54.76461751284779, 52.46600878895248, 61.34722390527901, 144.8354108588677, 106.52988300032733)","(80.90710703896748, 124.47226225826336, 31.929641490435763, 5.709800041433908, 131.74776805884346, 14.750718826968775)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",106.407,"(22.190953954139353, 54.420035422288734, 52.12590252769674, 61.12963638975246, 145.27602665337653, 106.50242732737806)","(80.9402102347837, 124.92580143053053, 31.23700421863542, 5.615430451396946, 131.53304980046644, 14.77969308094696)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",107.107,"(21.249337919576924, 54.20865460567612, 51.92389021375651, 60.74681413745839, 145.67493700036084, 105.99430257398203)","(81.48265574933369, 125.23879194702192, 30.87370428411608, 5.392275619456257, 131.35405147584538, 15.750662080423076)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",107.807,"(21.247270450267493, 53.86843244678313, 51.245024213658496, 60.70841237937027, 145.98768338353892, 106.08338921426225)","(81.47017495497285, 125.8111787660101, 29.843297143654446, 5.355344930023762, 131.21902465373032, 15.750662080423076)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",108.507,"(21.221414427233725, 53.41388817431483, 51.18902429758033, 60.408056903166255, 146.56292235396845, 106.1433918757337)","(81.47533854317015, 126.78590954864703, 29.779621249137286, 5.139447296214939, 131.00536740716922, 15.75076547926231)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",109.207,"(21.059108301138806, 53.310977671829356, 50.245048081726566, 60.0590565614941, 147.1065816080441, 106.1861138449166)","(81.54937425853632, 127.03350261747329, 28.66094345971908, 4.8754392718179815, 130.82699673935986, 15.754041970478525)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",109.907,"(20.616911518680105, 52.92687146156292, 50.189934958816195, 59.744148472114034, 147.58772030682218, 106.21509044376695)","(81.70344455201166, 128.11070621716885, 28.613750548641804, 4.558118321235867, 130.70022982156453, 15.793979613093587)"
"([0], [0], [0], [0], [1], [1])","([0], [0], [1], [2], [0], [0])",110.607,"(20.285939577335164, 52.76730110793079, 49.23111958708381, 59.325896040269384, 147.7130047803211, 106.26813696613391)","(81.80000671254099, 128.6748747566959, 27.719896817569477, 4.10080927269388, 130.67428995466418, 15.985985968746306)"
"([0], [0], [0], [0], [2], [2])","([0], [0], [1], [2], [0], [0])",111.307,"(20.204511359358367, 52.5950298636839, 49.09684052981322, 59.33261249547482, 148.23557483131606, 106.28503463713793)","(81.81398196641217, 129.2744367496395, 27.618441393904718, 4.095917497024573, 130.5655305434238, 15.981860191093926)"
"([0], [0], [0], [0], [2], [2])","([0], [0], [1], [2], [0], [0])",112.007,"(19.970673213027197, 52.4372183638658, 48.17983303998074, 58.69889854461192, 148.8005201160474, 106.49408404775474)","(81.86611264611001, 129.82223327665952, 26.938601864578494, 3.2450357522943136, 130.47907964924926, 16.29534382041365)"
"([0], [0], [0], [0], [2], [2])","([0], [0], [1], [2], [0], [0])",112.707,"(19.929669695604645, 52.252818682156146, 47.7783681745336, 58.672757255942, 148.79982518586917, 106.75301863528492)","(81.86395751450654, 130.44305122342192, 26.70086426523742, 3.188452793634525, 130.48617871646863, 16.57597766269467)"
"([0], [0], [0], [0], [2], [2])","([0], [1], [2], [3], [0], [1])",113.407,"(19.480969858216795, 52.10225045304591, 47.127971657395975, 58.228968464648844, 106.98689373685019, 149.32671561302936)","(81.90510953709433, 130.9748975293803, 26.33091153022886, 2.426519133590375, 16.766651785330147, 130.44121198509615)"
"([0], [0], [0], [0], [2], [2])","([0], [1], [2], [3], [0], [1])",114.107,"(19.48402014347294, 51.92736292980642, 46.975307793349955, 58.11219305290692, 107.01932418900702, 149.50029090253236)","(81.89509969665032, 131.59716724991742, 26.25272497567652, 2.1981510349058055, 16.75804481494081, 130.43738499712427)"
