index,t,n,dn,rates
1,102.5250000000062,16,2.0,0.39999999999990904
2,105.02500000000677,18,-2.0,0.03333333333332578
14,135.02500000001356,16,1.0,0.39999999999990904
15,137.52500000001413,17,1.0,0.39999999999990904
16,140.0250000000147,18,-2.0,0.05714285714284415
23,157.52500000001868,16,-2.0,0.05714285714284415
30,175.02500000002266,14,-2.0,0.133333333333302
33,182.52500000002442,12,-2.0,0.007843137254903968
84,310.0249999999918,10,-2.0,0.050000000000045335
92,330.02499999997366,8,2.0,0.20000000000017962
94,335.02499999996917,10,-2.0,0.03636363636366944
105,362.52499999994416,8,2.0,0.02666666666669092
120,400.02499999991005,10,-2.0,0.013793103448288407
149,472.5249999998441,8,2.0,0.4000000000003729
150,475.0249999998418,10,2.0,0.40000000000034563
151,477.5249999998396,12,2.0,0.03076923076925886
164,510.02499999980995,14,2.0,0.050000000000045335
172,530.0249999997918,16,2.0,0.044444444444484865
181,552.5249999997714,18,2.0,0.05714285714290911
188,570.0249999997554,20,-2.0,0.08000000000007276
193,582.5249999997441,18,2.0,0.10000000000008981
197,592.5249999997351,20,-2.0,0.20000000000018645
199,597.5249999997304,18,-2.0,0.0800000000000713
204,610.0249999997193,16,-2.0,0.10000000000009322
208,620.02499999971,14,-2.0,0.1333333333334546
211,627.5249999997031,12,4.0,0.05714285714290911
218,645.0249999996872,16,-2.0,0.03636363636366944
229,672.5249999996622,14,-2.0,0.10000000000009095
233,682.5249999996531,12,2.0,0.04000000000003638
243,707.5249999996304,14,-2.0,0.1333333333334546
246,715.0249999996236,12,1.0,0.4000000000003638
247,717.5249999996213,13,-1.0,0.02352941176472728
264,760.0249999995826,12,2.0,0.2000000000001819
266,765.0249999995781,14,-2.0,0.014814814814828265
293,832.5249999995168,12,2.0,0.05714285714290949
300,850.0249999995008,14,-2.0,0.08000000000007276
305,862.5249999994894,12,-2.0,0.014814814814828313
332,930.0249999994279,10,-2.0,0.030769230769258752
345,962.5249999993983,8,2.0,0.030769230769258752
358,995.0249999993688,10,-2.0,0.10000000000009208
362,1005.0249999993596,8,-2.0,0.013793103448242078
391,1077.5249999995372,6,2.0,0.03333333333321207
403,1107.5249999996463,8,2.0,0.03999999999985448
413,1132.5249999997372,10,-2.0,0.39999999999850844
414,1135.0249999997466,8,-2.0,0.026666666666569815
429,1172.5249999998828,6,2.0,0.06666666666642414
435,1187.5249999999373,8,-2.0,0.1999999999992724
437,1192.5249999999555,6,-2.0,0.013333333333284826
467,1267.5250000002284,4,2.0,0.03333333333321207
479,1297.5250000003375,6,-2.0,0.01481481481476092
506,1365.025000000583,4,2.0,0.07999999999971041
511,1377.5250000006283,6,2.0,0.19999999999926332
513,1382.5250000006467,8,2.0,0.05714285714264926
520,1400.0250000007104,10,2.0,0.04999999999981753
528,1420.0250000007834,12,2.0,0.07999999999971041
533,1432.5250000008286,14,2.0,0.13333333333284828
536,1440.025000000856,16,-2.0,0.0499999999998181
544,1460.0250000009287,14,1.0,0.3999999999985448
545,1462.5250000009378,15,1.0,0.07999999999970896
550,1475.0250000009833,16,-2.0,0.0999999999996362
554,1485.0250000010196,14,-2.0,0.3999999999985448
555,1487.5250000010287,12,2.0,0.0999999999996362
559,1497.525000001065,14,-2.0,0.026666666666569652
574,1535.0250000012015,12,2.0,0.07999999999970896
579,1547.525000001247,14,2.0,0.04999999999981753
587,1567.52500000132,16,-2.0,0.1333333333328523
590,1575.025000001347,14,-2.0,0.03636363636350407
601,1602.525000001447,12,2.0,0.0999999999996362
605,1612.5250000014835,14,-2.0,0.1999999999992815
607,1617.5250000015014,12,-2.0,0.07999999999970751
612,1630.0250000015471,10,2.0,0.044444444444282756
621,1652.525000001629,12,2.0,0.014285714285662315
649,1722.5250000018837,14,-2.0,0.13333333333284828
652,1730.025000001911,12,-2.0,0.00512820512818646
730,1925.0250000026208,10,2.0,0.04999999999981981
738,1945.0250000026929,12,1.0,0.39999999999843566
739,1947.5250000027027,13,1.0,0.1333333333328604
742,1955.0250000027293,14,2.0,0.1333333333328523
745,1962.5250000027563,16,-2.0,0.3999999999986176
746,1965.025000002765,14,-2.0,0.07999999999970023
751,1977.5250000028118,12,-2.0,0.036363636363504676
762,2005.0250000029114,10,-2.0,0.03999999999985412
