index,t,n,dn,rates
1,102.5250000000062,14,-2.0,0.017391304347822142
24,160.02500000001925,12,-2.0,0.022222222222217168
42,205.02500000002948,10,2.0,0.06666666666665139
48,220.02500000003292,12,2.0,0.019047619047621554
69,272.525000000026,14,-2.0,0.02000000000001821
89,322.5249999999805,12,-2.0,0.030769230769258592
102,355.0249999999511,10,2.0,0.033333333333363774
114,385.0249999999237,12,-2.0,0.08000000000007276
119,397.5249999999123,10,2.0,0.0666666666667273
125,412.5249999998987,12,2.0,0.01818181818183468
147,467.5249999998488,14,-2.0,0.13333333333345762
150,475.0249999998418,12,-2.0,0.05000000000004519
158,495.0249999998237,10,2.0,0.05714285714290967
165,512.5249999998076,12,-2.0,0.20000000000017734
167,517.5249999998032,10,-2.0,0.044444444444484865
176,540.0249999997827,8,-2.0,0.400000000000382
177,542.5249999997803,6,-2.0,0.006896551724144198
235,687.5249999996486,4,-2.0,0.010000000000009095
275,787.5249999995576,2,2.0,0.023529411764727157
292,830.0249999995192,4,-2.0,0.01052631578948327
330,925.0249999994327,2,1.0,0.4000000000003638
331,927.5249999994304,3,-1.0,0.044444444444485094
340,950.0249999994098,2,2.0,0.022222222222242488
358,995.0249999993688,4,2.0,0.013333333333308212
388,1070.02499999951,6,-2.0,0.0055555555555353514
460,1250.0250000001647,4,1.0,0.3999999999985448
461,1252.5250000001738,5,1.0,0.06666666666642414
467,1267.5250000002284,6,1.0,0.3999999999985448
468,1270.0250000002375,7,1.0,0.0999999999996362
472,1280.0250000002738,8,-2.0,0.015384615384559363
498,1345.0250000005105,6,-2.0,0.019047619047549834
519,1397.5250000007013,4,-2.0,0.026666666666569815
534,1435.0250000008375,2,2.0,0.07999999999970751
539,1447.5250000008832,4,-2.0,0.008333333333303002
587,1567.52500000132,2,-2.0,39.99999999985448
588,1567.55000000132,0,,
