index,t,n,dn,rates
9,122.52500000001072,10,2.0,0.05714285714284415
16,140.0250000000147,12,4.0,0.05714285714284415
23,157.52500000001868,16,-2.0,0.39999999999990904
24,160.02500000001925,14,-2.0,0.018181818181814066
46,215.0250000000317,12,-2.0,0.011428571428575734
81,302.5249999999987,10,-2.0,0.13333333333345662
84,310.0249999999918,8,2.0,0.40000000000034563
85,312.52499999998963,10,2.0,0.1333333333334546
88,320.0249999999828,12,-2.0,0.0666666666667273
94,335.02499999996917,10,2.0,0.08000000000007276
99,347.5249999999578,12,-2.0,0.0666666666667273
105,362.52499999994416,10,-2.0,0.0571428571429093
112,380.0249999999282,8,2.0,0.050000000000045335
120,400.02499999991005,10,-2.0,0.08000000000007276
125,412.5249999998987,8,-2.0,0.057142857142908926
132,430.0249999998828,6,-2.0,0.0181818181818347
154,485.02499999983286,4,2.0,0.20000000000018645
156,490.0249999998282,6,-2.0,0.10000000000009095
160,500.0249999998191,4,2.0,0.0666666666667268
166,515.0249999998056,6,2.0,0.20000000000018645
168,520.0249999998009,8,-2.0,0.01600000000001455
193,582.5249999997441,6,-2.0,0.022222222222242433
211,627.5249999997031,4,2.0,0.4000000000003638
212,630.0249999997009,6,2.0,0.10000000000009095
216,640.0249999996918,8,2.0,0.016666666666681793
240,700.0249999996373,10,2.0,0.13333333333345662
243,707.5249999996304,12,-2.0,0.05000000000004519
251,727.5249999996123,10,-2.0,0.06666666666672781
257,742.5249999995985,8,-2.0,0.08000000000007203
262,755.0249999995873,6,2.0,0.026666666666691
277,792.5249999995531,8,2.0,0.02857142857145465
291,827.5249999995211,10,2.0,0.20000000000017282
293,832.5249999995168,12,-2.0,0.05714285714290949
300,850.0249999995008,10,-2.0,0.01600000000001455
325,912.5249999994439,8,-2.0,0.4000000000003638
326,915.0249999994417,6,4.0,0.4000000000003638
327,917.5249999994394,10,2.0,0.08000000000007348
332,930.0249999994279,12,1.0,0.4000000000003638
333,932.5249999994256,13,1.0,0.20000000000017734
335,937.5249999994212,14,2.0,0.05714285714290949
342,955.0249999994052,16,-2.0,0.057142857142908746
349,972.5249999993894,14,-2.0,0.40000000000034563
350,975.0249999993872,12,-2.0,0.044444444444485094
359,997.5249999993666,10,2.0,0.2000000000001819
361,1002.5249999993621,12,-2.0,0.4000000000004002
362,1005.0249999993596,10,2.0,0.10000000000008867
366,1015.0249999993507,12,-2.0,0.023529411764642943
383,1057.5249999994644,10,1.0,0.1999999999992724
385,1062.5249999994826,11,-1.0,0.13333333333284422
