index,t,n,dn,rates
21,152.52500000001754,4,-2.0,0.005882352941177753
89,322.5249999999805,2,2.0,0.05000000000004519
97,342.5249999999624,4,-2.0,0.0034188034188065287
214,635.0249999996963,2,2.0,0.400000000000382
215,637.5249999996939,4,2.0,0.0666666666667268
221,652.5249999996804,6,-2.0,0.003478260869568382
336,940.0249999994188,4,-2.0,0.0030769230769154983
466,1265.0250000002193,2,2.0,0.018181818181752036
488,1320.0250000004194,4,2.0,0.1999999999992724
490,1325.0250000004376,6,2.0,0.015999999999941793
515,1387.525000000665,8,-2.0,0.019047619047549754
536,1440.025000000856,6,2.0,0.018181818181752036
558,1495.025000001056,8,2.0,0.030769230769118833
571,1527.5250000011742,10,-2.0,0.010256410256372944
610,1625.025000001529,8,2.0,0.0999999999996362
614,1635.0250000015653,10,-2.0,0.012903225806404671
645,1712.5250000018473,8,-2.0,0.013793103448225727
674,1785.0250000021108,6,-2.0,0.008510638297841362
721,1902.5250000025385,4,-2.0,0.004040404040389341
820,2150.025000003439,2,2.0,0.013333333333284826
850,2225.0250000037117,4,2.0,0.0064516129032023166
912,2380.025000004276,6,-2.0,0.1999999999992724
914,2385.0250000042943,4,2.0,0.028571428571325
928,2420.025000004421,6,2.0,0.09999999999964075
932,2430.025000004457,8,-2.0,0.199999999999236
934,2435.025000004476,6,-2.0,0.005405405405385754
1008,2620.0250000051487,4,1.0,0.399999999998472
1009,2622.5250000051583,5,-1.0,0.09999999999964075
1013,2632.525000005194,4,2.0,0.06666666666642211
1019,2647.5250000052492,6,-2.0,0.006451612903202336
1081,2802.525000005813,4,2.0,0.022222222222141604
1099,2847.5250000059764,6,-2.0,0.010256410256372944
1138,2945.025000006331,4,2.0,0.024999999999908765
1154,2985.025000006477,6,-2.0,0.0024844720496804027
1315,3387.5250000079413,4,2.0,0.13333333333285635
1318,3395.025000007968,6,-2.0,0.02352941176462003
1335,3437.5250000081232,4,2.0,0.0499999999998181
1343,3457.525000008196,6,-2.0,0.19999999999932697
1345,3462.525000008213,4,2.0,0.044444444444280064
1354,3485.025000008296,6,2.0,0.030769230769119263
1367,3517.525000008414,8,-2.0,0.04444444444428186
1376,3540.025000008496,6,2.0,0.033333333333212575
1388,3570.025000008605,8,4.0,0.07999999999970896
1393,3582.5250000086503,12,-2.0,0.3999999999983993
1394,3585.0250000086603,10,-4.0,0.13333333333285635
1397,3592.525000008687,6,-2.0,0.009523809523774877
1439,3697.525000009069,4,2.0,0.07999999999971479
1444,3710.0250000091137,6,2.0,0.036363636363504676
1455,3737.5250000092133,8,-2.0,0.0666666666664201
1461,3752.5250000092688,6,1.0,0.3999999999985448
1462,3755.025000009278,7,-1.0,0.06666666666642211
1468,3770.025000009333,6,-2.0,0.02222222222214183
1486,3815.0250000094957,4,2.0,0.006557377049156433
1547,3967.5250000100514,6,2.0,0.09999999999964075
1551,3977.5250000100873,8,-2.0,0.01212121212116809
1584,4060.025000010387,6,2.0,0.057142857142647774
1591,4077.525000010451,8,2.0,0.3999999999985448
1592,4080.02500001046,10,-2.0,0.02105263157912413
1611,4127.525000010061,8,-2.0,0.025000000000364935
1627,4167.5250000094775,6,-2.0,0.005063291139314164
1706,4365.025000006604,4,-2.0,0.0010752688172199494
2078,5295.02499999307,2,2.0,0.03333333333381738
2090,5325.024999992635,4,-2.0,0.0028169014084916885
2232,5680.0249999874695,2,2.0,0.01666666666690945
2256,5740.0249999865955,4,-2.0,0.0031007751938435806
2385,6062.524999981902,2,2.0,0.20000000000291038
2387,6067.524999981829,4,2.0,0.10000000000145519
2391,6077.524999981683,6,-2.0,0.00816326530624124
2440,6200.024999979901,4,-2.0,0.00408163265312062
2538,6445.0249999763355,2,2.0,0.007843137255016093
2589,6572.52499997448,4,-2.0,0.01000000000014552
2629,6672.524999973025,2,2.0,0.028571428571844342
2643,6707.524999972516,4,-2.0,0.009302325581530716
2686,6815.024999970951,2,2.0,0.005063291139314187
2765,7012.524999968077,4,2.0,0.10000000000145519
2769,7022.524999967932,6,-2.0,0.009523809523948113
2811,7127.524999966404,4,-2.0,0.04444444444509299
2820,7150.0249999660755,2,2.0,0.011764705882524266
2854,7235.024999964838,4,2.0,0.13333333333524125
2857,7242.52499996473,6,-2.0,0.0444444444450912
2866,7265.024999964403,4,2.0,0.06666666666763679
2872,7280.024999964185,6,-2.0,0.057142857143691654
2879,7297.524999963929,4,-2.0,0.004761904761974036
2963,7507.524999960874,2,-2.0,40.00000000058208
2964,7507.549999960874,0,,
