index,t,n,dn,rates
10,125.02500000001127,8,2.0,0.19999999999995396
12,130.02500000001243,10,-2.0,0.018181818181814056
34,185.0250000000249,8,2.0,0.13333333333330252
37,192.52500000002664,10,-2.0,0.07999999999998181
42,205.02500000002948,8,-2.0,0.044444444444434336
51,227.5250000000346,6,2.0,0.04999999999998863
59,247.52500000003914,8,-2.0,0.06666666666668461
65,262.5250000000351,6,2.0,0.1333333333334546
68,270.0250000000283,8,-2.0,0.2000000000001819
70,275.02500000002374,6,1.0,0.4000000000003638
71,277.52500000002146,7,-1.0,0.028571428571454557
85,312.52499999998963,6,-2.0,0.10000000000009152
89,322.5249999999805,4,2.0,0.021052631578966516
108,370.0249999999373,6,-2.0,0.10000000000009095
112,380.0249999999282,4,2.0,0.20000000000017962
114,385.0249999999237,6,1.0,0.4000000000003729
115,387.52499999992136,7,1.0,0.021052631578966516
134,435.02499999987816,8,-2.0,0.02352941176472722
151,477.5249999998396,6,-2.0,0.10000000000009152
155,487.52499999983047,4,2.0,0.10000000000009095
159,497.5249999998214,6,2.0,0.06666666666672781
165,512.5249999998076,8,-2.0,0.05000000000004519
173,532.5249999997895,6,-2.0,0.019047619047636372
194,585.0249999997418,4,2.0,0.13333333333345257
197,592.5249999997351,6,-2.0,0.057142857142908746
204,610.0249999997193,4,2.0,0.200000000000191
206,615.0249999997145,6,2.0,0.1333333333334546
209,622.5249999997077,8,1.0,0.400000000000382
210,625.0249999997053,9,-1.0,0.02352941176472722
227,667.5249999996668,8,-2.0,0.08000000000007276
232,680.0249999996554,6,2.0,0.4000000000003638
233,682.5249999996531,8,-2.0,0.08000000000007276
238,695.0249999996418,6,-2.0,0.016666666666681793
262,755.0249999995873,4,2.0,0.044444444444484865
271,777.5249999995668,6,-2.0,0.02352941176472728
288,820.0249999995282,4,2.0,0.05000000000004576
296,840.0249999995099,6,2.0,0.03636363636366944
307,867.5249999994849,8,-2.0,0.05714285714290911
314,885.024999999469,6,-2.0,0.4000000000003638
315,887.5249999994667,4,2.0,0.4000000000003638
316,890.0249999994644,6,2.0,0.10000000000009095
320,900.0249999994553,8,-2.0,0.10000000000009095
324,910.0249999994462,6,-2.0,0.05000000000004576
332,930.0249999994279,4,2.0,0.13333333333345257
335,937.5249999994212,6,2.0,0.400000000000382
336,940.0249999994188,8,2.0,0.044444444444484865
345,962.5249999993983,10,2.0,0.10000000000008981
349,972.5249999993894,12,-2.0,0.06666666666672781
355,987.5249999993756,10,-2.0,0.10000000000008981
359,997.5249999993666,8,-2.0,0.007692307692286852
411,1127.5249999997188,6,2.0,0.19999999999926332
413,1132.5249999997372,8,-2.0,0.044444444444282756
422,1155.024999999819,6,2.0,0.07999999999970896
427,1167.5249999998646,8,2.0,0.13333333333284828
430,1175.0249999998919,10,2.0,0.1999999999992724
432,1180.02499999991,12,-2.0,0.1999999999992724
434,1185.0249999999282,10,-2.0,0.3999999999985448
435,1187.5249999999373,8,2.0,0.1333333333328523
438,1195.0249999999644,10,2.0,0.044444444444282305
447,1217.5250000000465,12,2.0,0.044444444444282305
456,1240.0250000001286,14,4.0,0.13333333333285635
459,1247.5250000001554,18,2.0,0.39999999999850844
460,1250.0250000001647,20,2.0,0.1999999999992724
462,1255.025000000183,22,-4.0,0.3999999999985448
463,1257.525000000192,18,-2.0,0.05714285714265
470,1275.0250000002554,16,2.0,0.13333333333284422
473,1282.525000000283,18,2.0,0.05714285714264926
480,1300.0250000003466,20,-2.0,0.1999999999992724
482,1305.0250000003648,18,-1.0,0.1999999999992724
484,1310.025000000383,17,-1.0,0.02499999999990905
500,1350.0250000005285,16,-2.0,0.1999999999992724
502,1355.0250000005467,14,2.0,0.19999999999926332
504,1360.0250000005651,16,-2.0,0.1999999999992815
506,1365.025000000583,14,2.0,0.0999999999996362
510,1375.0250000006195,16,1.0,0.3999999999985812
511,1377.5250000006283,17,-3.0,0.19999999999926332
513,1382.5250000006467,14,2.0,0.3999999999985448
514,1385.0250000006558,16,-2.0,0.13333333333284422
517,1392.5250000006833,14,-2.0,0.04999999999981867
525,1412.5250000007559,12,-2.0,0.1999999999992906
527,1417.5250000007736,10,-2.0,0.09999999999963166
531,1427.5250000008105,8,1.0,0.3999999999985812
532,1430.0250000008193,9,-1.0,0.015999999999941616
557,1492.5250000010474,8,-2.0,0.039999999999854846
567,1517.525000001138,6,-2.0,0.3999999999985812
568,1520.025000001147,4,-2.0,0.011111111111070661
604,1610.0250000014746,2,-2.0,39.99999999985448
605,1610.0500000014747,0,,
