index,t,n,dn,rates
51,227.5250000000346,2,-1.0,0.39999999999990904
52,230.02500000003516,1,1.0,0.004000000000003165
152,480.02499999983735,2,2.0,0.10000000000009152
156,490.0249999998282,4,2.0,0.1333333333334546
159,497.5249999998214,6,-2.0,0.2000000000001819
161,502.5249999998168,4,2.0,0.02500000000002281
177,542.5249999997803,6,-2.0,0.017391304347841835
200,600.0249999997283,4,-2.0,0.003053435114506594
331,927.5249999994304,2,2.0,0.04000000000003638
341,952.5249999994077,4,-2.0,0.009523809523804378
383,1057.5249999994644,2,-2.0,39.99999999985448
384,1057.5499999994645,0,,
