index,t,n,dn,rates
24,160.02500000001925,6,-2.0,0.018181818181814066
46,215.0250000000317,4,2.0,0.06666666666665126
52,230.02500000003516,6,2.0,0.023529411764710947
69,272.525000000026,8,1.0,0.4000000000003638
70,275.02500000002374,9,-1.0,0.2000000000001819
72,280.0250000000192,8,-2.0,0.1333333333334546
75,287.52500000001237,6,2.0,0.10000000000009038
79,297.52500000000333,8,2.0,0.06666666666672755
85,312.52499999998963,10,-2.0,0.021052631578966516
104,360.02499999994643,8,2.0,0.10000000000009152
108,370.0249999999373,10,1.0,0.40000000000033653
109,372.5249999999352,11,-1.0,0.03333333333336371
121,402.52499999990783,10,-2.0,0.06666666666672806
127,417.524999999894,8,2.0,0.06666666666672628
133,432.5249999998806,10,2.0,0.05000000000004576
141,452.5249999998623,12,-2.0,0.0666666666667268
147,467.5249999998488,10,-2.0,0.02857142857145465
161,502.5249999998168,8,2.0,0.13333333333345562
164,510.02499999980995,10,-2.0,0.10000000000009038
168,520.0249999998009,8,-2.0,0.005194805194809923
245,712.5249999996257,6,-2.0,0.028571428571454463
259,747.524999999594,4,-2.0,0.0057142857142909115
329,922.5249999994348,2,2.0,0.0666666666667273
335,937.5249999994212,4,1.0,0.400000000000382
336,940.0249999994188,5,-1.0,0.004819277108425071
419,1147.5249999997918,4,2.0,0.011111111111070689
455,1237.5250000001192,6,-2.0,0.01481481481476092
482,1305.0250000003648,4,2.0,0.028571428571324813
496,1340.025000000492,6,-2.0,0.0039215686274367174
598,1595.0250000014194,4,2.0,0.015384615384559255
624,1660.0250000016565,6,-2.0,0.009090909090875999
668,1770.025000002057,4,-2.0,0.000692041522488832
1246,3215.0250000073133,2,2.0,0.0266666666665703
1261,3252.525000007449,4,1.0,0.39999999999825375
1262,3255.0250000074598,5,-1.0,0.049999999999820376
1270,3275.0250000075316,4,1.0,0.3999999999985448
1271,3277.5250000075407,5,1.0,0.026666666666569652
1286,3315.025000007677,6,-2.0,0.13333333333284828
1289,3322.5250000077044,4,-2.0,0.003278688524578236
1411,3627.525000008814,2,2.0,0.013793103448225683
1440,3700.0250000090778,4,-2.0,0.03333333333321207
1452,3730.025000009187,2,2.0,0.03999999999985448
1462,3755.025000009278,4,-1.0,0.3999999999985448
1463,3757.525000009287,3,-1.0,0.004040404040389349
1562,4005.025000010187,2,2.0,0.005970149253759222
1629,4172.525000009405,4,2.0,0.010810810810968128
1666,4265.025000008059,6,-2.0,0.004255319148998093
1760,4500.025000004639,4,2.0,0.04000000000058208
1770,4525.025000004275,6,-2.0,0.012500000000181899
1802,4605.025000003111,4,2.0,0.028571428571844342
1816,4640.025000002602,6,2.0,0.20000000000291038
1818,4645.025000002529,8,-2.0,0.023529411765047775
1835,4687.525000001911,6,-2.0,0.009090909091041457
1879,4797.52500000031,4,2.0,0.20000000000291038
1881,4802.525000000237,6,-2.0,0.004705882353009656
1966,5015.024999997145,4,2.0,0.20000000000291038
1968,5020.024999997072,6,2.0,0.06666666666763275
1974,5035.024999996855,8,-2.0,0.13333333333528977
1977,5042.524999996745,6,2.0,0.028571428571845085
1991,5077.524999996234,8,2.0,0.1000000000014461
1995,5087.52499999609,10,-2.0,0.033333333333818396
2007,5117.524999995653,8,-2.0,0.057142857143685714
2014,5135.024999995399,6,-2.0,0.4000000000059663
2015,5137.524999995362,4,-2.0,0.0444444444450912
2024,5160.024999995035,2,2.0,0.13333333333525743
2027,5167.5249999949265,4,-2.0,0.20000000000294677
2029,5172.524999994853,2,2.0,0.0111111111112728
2065,5262.524999993543,4,-2.0,0.03076923076967852
2078,5295.02499999307,2,2.0,0.03636363636416552
2089,5322.52499999267,4,1.0,0.40000000000567526
2090,5325.024999992635,5,-1.0,0.00869565217403965
2136,5440.02499999096,4,-2.0,0.003809523809579245
2241,5702.52499998714,2,2.0,0.0222222222225456
2259,5747.524999986485,4,2.0,0.057142857143688684
2266,5765.024999986231,6,-2.0,0.019047619047895897
2287,5817.524999985468,4,-2.0,0.03636363636416312
2298,5845.024999985069,2,1.0,0.40000000000640284
2299,5847.524999985029,3,-1.0,0.004210526315850745
2394,6085.024999981573,2,2.0,0.023529411765047775
2411,6127.524999980956,4,2.0,0.057142857143688684
2418,6145.024999980701,6,-2.0,0.028571428571844342
2432,6180.024999980192,4,-2.0,0.08000000000116415
2437,6192.52499998001,2,2.0,0.050000000000727594
2445,6212.524999979719,4,2.0,0.025000000000363797
2461,6252.524999979137,6,2.0,0.13333333333524125
2464,6260.024999979029,8,-2.0,0.020000000000291767
2484,6310.0249999783,6,2.0,0.04000000000058208
2494,6335.024999977936,8,-2.0,0.0222222222225456
2512,6380.024999977281,6,-2.0,0.01600000000023283
2537,6442.524999976372,4,-2.0,0.005194805194880789
2614,6635.024999973571,2,2.0,0.02000000000029104
2634,6685.024999972843,4,-2.0,0.057142857143691654
2641,6702.5249999725875,2,-1.0,0.4000000000055297
2642,6705.024999972553,1,-1.0,40.00000000058208
2643,6705.0499999725525,0,,
