index,t,n,dn,rates
190,119.01000000002398,6,2.0,4.999999999997797
192,119.21000000002407,8,-2.0,2.499999999998632
196,119.61000000002429,6,-2.0,0.06666666666667437
346,134.61000000002255,4,2.0,2.000000000001819
351,135.1100000000221,6,1.0,10.000000000011937
352,135.21000000002198,7,-1.0,0.18867924528318844
405,140.51000000001721,6,2.0,0.06369426751598162
562,156.2100000000029,8,-2.0,0.08849557522131943
675,167.50999999999263,6,-2.0,0.8333333333340912
687,168.70999999999154,4,2.0,0.036496350364996696
961,196.10999999996662,6,-2.0,0.001615769914365664
7150,815.0099999994037,4,-2.0,0.028735632183933994
7498,849.8099999993723,2,2.0,0.007194244604323102
8888,988.8099999992456,4,-2.0,0.014577259475231892
9574,1057.4099999991834,2,2.0,0.014992503748139572
10241,1124.1099999991227,4,-2.0,0.019607843137272648
10751,1175.1099999990765,2,2.0,0.07194244604323208
10890,1189.0099999990637,4,-2.0,0.02352941176472728
11315,1231.509999999025,2,2.0,0.01597444089458322
11941,1294.109999998968,4,2.0,0.16666666666681826
12001,1300.1099999989626,6,2.0,0.049019607843182385
12205,1320.5099999989438,8,-2.0,0.018315018315034896
12751,1375.1099999988944,6,2.0,0.5000000000004547
12771,1377.1099999988926,8,-2.0,0.03246753246756224
13079,1407.9099999988644,6,-2.0,0.08547008547015822
13196,1419.6099999988544,4,2.0,0.025706940874059822
13585,1458.5099999988183,6,-2.0,0.021367521367540696
14053,1505.309999998776,4,-2.0,0.009250693802043585
15134,1613.4099999986774,2,2.0,0.27777777777799534
15170,1617.0099999986746,4,-2.0,0.004140786749486168
17585,1858.509999998455,2,2.0,0.011750881316109426
18436,1943.6099999983774,4,2.0,0.8333333333339333
18448,1944.8099999983765,6,1.0,10.00000000005457
18449,1944.909999998376,7,-1.0,0.3030303030305995
18482,1948.2099999983727,6,-2.0,0.008510638297850882
19657,2065.709999998669,4,1.0,9.999999999781721
19658,2065.809999998671,5,-1.0,1.9999999999563443
19663,2066.309999998682,4,-2.0,0.003929273084393604
22208,2320.8100000042373,2,2.0,0.018832391713336574
22739,2373.9100000053963,4,2.0,0.020790020789566595
23220,2422.010000006447,6,-2.0,0.15384615384281725
23285,2428.510000006588,4,2.0,0.02439024390190664
23695,2469.510000007483,6,2.0,0.104166666664388
23791,2479.110000007693,8,-2.0,0.16666666666302868
23851,2485.110000007824,6,-2.0,0.007898894154645938
25117,2611.710000010587,4,2.0,0.018832391713336574
25648,2664.810000011746,6,-2.0,0.05154639175145338
25842,2684.210000012169,4,2.0,0.19607843136825157
25893,2689.310000012281,6,-2.0,0.02666666666608459
26268,2726.8100000130994,4,2.0,4.999999999890861
26270,2727.0100000131038,6,-2.0,0.009460737937352621
27327,2832.710000015411,4,-2.0,0.08130081300635546
27450,2845.0100000156795,2,-2.0,99.99999999781721
27451,2845.0200000156797,0,,
