index,t,n,dn,rates
0,100.09999999999859,4,2.0,0.10000000000000568
1,110.09999999999802,6,-2.0,0.011111111111111748
10,200.09999999999286,4,2.0,0.05000000000000291
12,220.0999999999917,6,-2.0,0.01999999999999951
17,270.0999999999929,4,2.0,0.019999999999995452
22,320.1000000000043,6,2.0,0.024999999999994388
26,360.10000000001327,8,-2.0,0.005882352941175131
43,530.100000000052,6,2.0,0.019999999999995497
48,580.1000000000632,8,-2.0,0.006666666666665146
63,730.1000000000975,6,2.0,0.016666666666662878
69,790.1000000001111,8,-2.0,0.09999999999997726
70,800.1000000001134,6,-2.0,0.009090909090907024
81,910.1000000001384,4,-2.0,0.016666666666662878
87,970.100000000152,2,2.0,0.04999999999998863
89,990.1000000001566,4,-2.0,0.012500000000005364
97,1070.1000000001222,2,-2.0,10.000000000009095
98,1070.2000000001221,0,,
