index,t,n,dn,rates
150,115.01000000002192,8,-2.0,0.02801120448180371
507,150.7100000000079,6,-2.0,0.032154340836042135
818,181.8099999999796,4,2.0,10.000000000000568
819,181.9099999999796,6,-2.0,10.00000000001478
820,182.00999999997944,4,2.0,0.04651162790701899
1035,203.50999999995992,6,2.0,0.30303030303058126
1068,206.8099999999569,8,-2.0,0.02114164904864502
1541,254.10999999991387,6,-2.0,0.021929824561423467
1997,299.70999999987237,4,2.0,10.00000000000341
1998,299.80999999987233,6,1.0,10.000000000009095
1999,299.90999999987224,7,-1.0,0.030959752322009582
2322,332.20999999984286,6,-2.0,0.01388888888890152
3042,404.2099999997774,4,2.0,0.044247787610659825
3268,426.80999999975677,6,2.0,0.7142857142863059
3282,428.2099999997556,8,-2.0,0.16393442622965881
3343,434.30999999975,6,2.0,0.009532888465213623
4392,539.2099999996547,8,2.0,3.333333333336365
4395,539.5099999996544,10,2.0,3.333333333336365
4398,539.8099999996541,12,-2.0,0.7142857142863639
4412,541.2099999996528,10,-2.0,0.049751243781139494
4613,561.3099999996347,8,-2.0,0.012330456226891627
5424,642.4099999995608,6,2.0,0.04347826086960476
5654,665.4099999995399,8,2.0,0.4000000000003638
5679,667.9099999995376,10,-2.0,0.0568181818182335
5855,685.5099999995216,8,2.0,0.0666666666667268
6005,700.5099999995081,10,2.0,0.054054054054103545
6190,719.0099999994911,12,-2.0,0.0568181818182335
6366,736.6099999994751,10,-2.0,0.12345679012356907
6447,744.7099999994678,8,-2.0,0.26315789473708145
6485,748.5099999994643,6,-2.0,0.015220700152220872
7142,814.2099999994044,4,2.0,0.03448275862072088
7432,843.2099999993782,6,2.0,0.09803921568636367
7534,853.4099999993689,8,-2.0,0.04016064257031747
7783,878.3099999993464,6,-2.0,0.02444987775063369
8192,919.2099999993088,4,2.0,0.8333333333338544
8204,920.4099999993081,6,1.0,10.000000000009095
8205,920.509999999308,7,-1.0,10.000000000043201
8206,920.6099999993075,6,-2.0,9.999999999997726
8207,920.7099999993076,4,2.0,9.999999999997726
8208,920.8099999993076,6,-2.0,0.009433962264159523
9268,1026.8099999992112,4,-2.0,0.009345794392531845
10338,1133.809999999114,2,2.0,5.000000000015916
10340,1134.0099999991135,4,-2.0,10.000000000009095
10341,1134.1099999991134,2,2.0,0.05952380952386205
10509,1150.9099999990985,4,-2.0,0.011261261261271532
11397,1239.7099999990176,2,2.0,0.10989010989020984
11488,1248.8099999990093,4,2.0,1.1111111111121217
11497,1249.7099999990085,6,-2.0,0.0617283950617854
11659,1265.9099999989935,4,-2.0,0.15873015873029736
11722,1272.209999998988,2,2.0,0.11235955056189707
11811,1281.1099999989801,4,-2.0,0.023866348448709187
12230,1323.0099999989418,2,2.0,0.017006802721103838
12818,1381.8099999988885,4,-2.0,0.011273957158973107
13705,1470.5099999988074,2,2.0,0.08849557522131586
13818,1481.8099999987976,4,-2.0,0.006309148264989974
15403,1640.3099999986532,2,2.0,0.5882352941182607
15420,1642.0099999986514,4,-2.0,0.00809061488673875
16656,1765.609999998539,2,2.0,0.015822784810141086
17288,1828.809999998481,4,-2.0,0.016181229773477322
17906,1890.6099999984256,2,2.0,0.039370078740193284
18160,1916.0099999984025,4,2.0,2.5000000000022737
18164,1916.409999998402,6,-2.0,4.999999999998863
18166,1916.6099999984021,4,-2.0,0.10869565217401458
18258,1925.8099999983936,2,2.0,0.12345679012356214
18339,1933.9099999983866,4,2.0,5.000000000015916
18341,1934.109999998386,6,1.0,10.000000000009095
18342,1934.209999998386,7,-1.0,0.0510204081633123
18538,1953.8099999983679,6,2.0,0.5263157894741
18557,1955.7099999983664,8,-2.0,0.0961538461539336
18661,1966.109999998357,6,1.0,10.000000000031832
18662,1966.2099999983566,7,-1.0,0.012674271229415873
19451,2045.1099999982846,6,-2.0,0.026041666666142486
19835,2083.5099999990575,4,-2.0,0.005889281507527515
21533,2253.310000002764,2,-2.0,99.99999999781721
21534,2253.320000002764,0,,
