index,t,n,dn,rates
5,150.09999999999576,4,-2.0,0.01000000000000057
15,250.09999999999008,2,2.0,0.03333333333332765
18,280.0999999999952,4,2.0,0.024999999999994315
22,320.1000000000043,6,2.0,0.09999999999997726
23,330.10000000000656,8,-2.0,0.09999999999997726
24,340.10000000000883,6,-2.0,0.008333333333331442
36,460.10000000003606,4,-2.0,0.005882352941175133
53,630.1000000000747,2,2.0,0.012499999999997157
61,710.1000000000929,4,2.0,0.011111111111108584
70,800.1000000001134,6,-2.0,0.09999999999997726
71,810.1000000001156,4,2.0,0.09999999999997726
72,820.1000000001179,6,2.0,0.019999999999995452
77,870.1000000001293,8,-2.0,0.09999999999997612
78,880.1000000001317,6,-2.0,0.024999999999994388
82,920.1000000001407,4,2.0,0.008333333333332702
94,1040.1000000001497,6,2.0,0.10000000000009322
95,1050.1000000001404,8,-2.0,0.03333333333336365
98,1080.1000000001131,6,-2.0,0.10000000000009095
99,1090.100000000104,4,-2.0,0.014285714285727278
106,1160.1000000000404,2,2.0,0.016666666666681824
112,1220.0999999999858,4,-2.0,0.012500000000011368
120,1300.099999999913,2,2.0,0.02000000000001819
125,1350.0999999998676,4,2.0,0.050000000000044904
127,1370.0999999998496,6,-2.0,0.033333333333363906
130,1400.099999999822,4,-2.0,0.007142857142863639
144,1540.0999999996948,2,2.0,0.014285714285727278
151,1610.099999999631,4,-2.0,0.005555555555560608
169,1790.0999999994674,2,2.0,0.02000000000001819
174,1840.099999999422,4,-2.0,0.002564102564104896
213,2230.099999999067,2,2.0,0.02000000000001819
218,2280.0999999990217,4,-2.0,0.0037037037037070783
245,2550.0999999987757,2,4.0,0.03333333333336314
248,2580.099999998749,6,-2.0,0.014285714285727372
255,2650.099999998685,4,-2.0,0.01000000000000905
265,2750.0999999985943,2,2.0,0.03333333333336365
268,2780.099999998567,4,-2.0,0.004166666666670448
292,3020.099999998349,2,2.0,0.02000000000001837
297,3070.0999999983032,4,-2.0,0.016666666666681824
303,3130.0999999982487,2,2.0,0.05000000000004547
305,3150.0999999982305,4,1.0,0.1000000000000955
306,3160.099999998221,5,-1.0,0.01111111111112116
315,3250.0999999981395,4,-2.0,0.016666666666681953
321,3310.0999999980845,2,2.0,0.050000000000043204
323,3330.0999999980672,4,4.0,0.05000000000004661
325,3350.0999999980486,8,-4.0,0.012500000000011155
333,3430.099999997977,4,1.0,0.10000000000010459
334,3440.0999999979667,5,-1.0,0.10000000000009095
335,3450.0999999979576,4,-2.0,0.014285714285727186
342,3520.0999999978944,2,2.0,0.02000000000001837
347,3570.0999999978485,4,-2.0,0.02500000000002302
351,3610.0999999978117,2,2.0,0.03333333333336314
354,3640.099999997785,4,2.0,0.05000000000004547
356,3660.0999999977666,6,2.0,0.10000000000009095
357,3670.0999999977575,8,-2.0,0.025000000000022737
361,3710.099999997721,6,-2.0,0.025000000000022737
365,3750.099999997685,4,-2.0,0.011111111111121216
374,3840.099999997603,2,2.0,0.03333333333336314
377,3870.099999997576,4,-2.0,0.02500000000002302
381,3910.0999999975393,2,2.0,0.03333333333336365
384,3940.099999997512,4,-2.0,0.007142857142863616
398,4080.099999997385,2,2.0,0.009090909090882069
409,4190.099999997712,4,-2.0,0.008333333333303017
421,4310.099999998149,2,2.0,0.049999999999820376
423,4330.0999999982205,4,-2.0,0.008333333333302953
435,4450.099999998658,2,2.0,0.0499999999998181
437,4470.099999998731,4,-2.0,0.0999999999996362
438,4480.099999998767,2,2.0,0.033333333333213075
441,4510.099999998875,4,2.0,0.01999999999992688
446,4560.099999999058,6,1.0,0.0999999999996362
447,4570.0999999990945,7,-1.0,0.0999999999996362
448,4580.099999999131,6,-2.0,0.02499999999990905
452,4620.099999999276,4,2.0,0.0999999999996362
453,4630.099999999313,6,-2.0,0.01999999999992688
458,4680.099999999496,4,2.0,0.0999999999996453
459,4690.099999999531,6,-2.0,0.008333333333302953
471,4810.0999999999685,4,2.0,0.04999999999982265
473,4830.1000000000395,6,-4.0,0.03333333333321005
476,4860.10000000015,2,2.0,0.02499999999990962
480,4900.100000000295,4,4.0,0.01999999999992724
485,4950.100000000477,8,-2.0,0.0499999999998181
487,4970.10000000055,6,-2.0,0.01999999999992724
492,5020.100000000732,4,2.0,0.049999999999820376
494,5040.100000000803,6,2.0,0.014285714285662129
501,5110.100000001059,8,-2.0,0.01999999999992724
506,5160.100000001241,6,2.0,0.03333333333321207
509,5190.10000000135,8,-2.0,0.0999999999996362
510,5200.100000001386,6,-2.0,0.01666666666660578
516,5260.100000001606,4,2.0,0.0999999999996453
517,5270.100000001641,6,2.0,0.0499999999998181
519,5290.100000001714,8,-2.0,0.04999999999981583
521,5310.1000000017875,6,-4.0,0.0999999999996453
522,5320.100000001823,2,2.0,0.01999999999992724
527,5370.100000002005,4,-2.0,0.012499999999954525
535,5450.100000002296,2,2.0,0.02499999999990962
539,5490.1000000024405,4,-2.0,0.0038461538461398406
565,5750.100000003387,2,-2.0,9.99999999996362
566,5750.200000003388,0,,
