index,t,n,dn,rates
1,110.09999999999802,4,-2.0,0.00769230769230813
14,240.09999999999062,2,2.0,0.03333333333333077
17,270.0999999999929,4,-2.0,0.014285714285711038
24,340.10000000000883,2,2.0,0.019999999999995452
29,390.1000000000202,4,-2.0,0.09999999999997669
30,400.10000000002253,2,2.0,0.012499999999997157
38,480.1000000000407,4,1.0,0.0999999999999784
39,490.1000000000429,5,-1.0,0.024999999999994315
43,530.100000000052,4,-2.0,0.00399999999999909
68,780.1000000001088,2,2.0,0.04999999999998863
70,800.1000000001134,4,2.0,0.014285714285711038
77,870.1000000001293,6,-2.0,0.09999999999997612
78,880.1000000001317,4,2.0,0.024999999999994388
82,920.1000000001407,6,-4.0,0.0040000000000017496
107,1170.1000000000313,2,-2.0,10.000000000009095
108,1170.2000000000312,0,,
