index,t,n,dn,rates
128,112.81000000002079,2,2.0,0.34482758620672016
157,115.71000000002228,4,2.0,0.416666666666451
181,118.11000000002352,6,-2.0,0.02283105022832395
619,161.90999999999772,4,2.0,0.26315789473708145
657,165.70999999999427,6,-2.0,0.16949152542388296
716,171.6099999999889,4,2.0,0.2702702702705161
753,175.30999999998554,6,-2.0,0.00551876379691451
2565,356.50999999982076,4,2.0,0.018050541516261905
3119,411.9099999997704,6,2.0,0.08333333333340913
3239,423.90999999975946,8,-2.0,0.03571428571431827
3519,451.90999999973394,6,-2.0,0.009066183136907602
4622,562.2099999996337,4,2.0,0.02004008016033887
5121,612.1099999995884,6,-2.0,0.006485084306101878
6663,766.3099999994481,4,2.0,0.032467532467561754
6971,797.1099999994203,6,-2.0,0.0031867431485051315
10109,1110.9099999991347,4,2.0,0.03759398496244021
10375,1137.5099999991105,6,-2.0,0.005711022272992059
12126,1312.6099999989513,4,2.0,0.0342465753424969
12418,1341.8099999989247,6,-2.0,0.025445292620888283
12811,1381.109999998889,4,2.0,0.08928571428579549
12923,1392.3099999988788,6,-2.0,0.20408163265323737
12972,1397.2099999988745,4,2.0,0.33333333333368703
13002,1400.2099999988714,6,-2.0,0.00931098696462668
14076,1507.6099999987741,4,2.0,0.01818181818183472
14626,1562.609999998724,6,2.0,0.1408450704226633
14697,1569.7099999987176,8,-2.0,0.11904761904773055
14781,1578.1099999987098,6,-2.0,0.06493506493512399
14935,1593.5099999986958,4,2.0,0.12987012987024799
15012,1601.2099999986888,6,-2.0,0.019801980198037812
15517,1651.7099999986428,4,2.0,0.04950495049509453
15719,1671.9099999986245,6,-2.0,0.0034447123665205235
18622,1962.209999998361,4,2.0,0.020491803278707352
19110,2011.009999998316,6,-2.0,0.020876826722248876
19589,2058.909999998521,4,-2.0,0.054644808741977975
19772,2077.20999999892,2,2.0,0.02717391304288444
20140,2114.009999999724,4,-2.0,0.007147962830437302
21539,2253.910000002777,2,2.0,0.8333333333151435
21551,2255.110000002803,4,-2.0,0.4545454545356267
21573,2257.3100000028508,2,2.0,0.1694915254200161
21632,2263.21000000298,4,-2.0,0.019011406843691486
22158,2315.810000004128,2,2.0,0.024630541871383273
22564,2356.410000005015,4,-2.0,0.007727975270310476
23858,2485.810000007839,2,2.0,0.040160642569404506
24107,2510.7100000083824,4,2.0,0.006222775357673753
25714,2671.41000001189,6,2.0,0.19230769230347783
25766,2676.610000012004,8,2.0,0.019920318724664963
26268,2726.8100000130994,10,-2.0,0.039840637449329565
26519,2751.9100000136473,8,-2.0,0.0091157702823899
27616,2861.610000016042,6,-2.0,0.02222222222173716
28066,2906.610000017024,4,2.0,0.035714285713506724
28346,2934.610000017635,6,2.0,0.2222222222173716
28391,2939.110000017733,8,-2.0,0.3124999999931344
28423,2942.3100000178033,6,-2.0,3.333333333260574
28426,2942.61000001781,4,2.0,1.1111111110874194
28435,2943.510000017829,6,-2.0,0.032894736841386746
28739,2973.910000018493,4,2.0,1.428571428540246
28746,2974.6100000185083,6,-2.0,1.6666666666315502
28752,2975.210000018521,4,2.0,0.18867924527888422
28805,2980.510000018637,6,2.0,1.9999999999563443
28810,2981.010000018648,8,-2.0,9.99999999987267
28811,2981.1100000186493,6,2.0,9.999999999690772
28812,2981.2100000186524,8,-2.0,1.9999999999563443
28817,2981.7100000186633,6,1.0,9.999999999827196
28818,2981.810000018665,7,-1.0,0.019762845849370814
29324,3032.41000001977,6,2.0,0.022471910111869265
29769,3076.910000020741,8,-2.0,0.1408450704194338
29840,3084.010000020897,6,-2.0,0.07299270072833373
29977,3097.7100000211963,4,-2.0,0.008368200836637488
31172,3217.210000023804,2,2.0,0.02004008015988321
31671,3267.110000024893,4,-2.0,0.007062146892501215
33087,3408.710000027984,2,2.0,0.016260162601270972
33702,3470.2100000293267,4,-2.0,0.034602076123812726
33991,3499.110000029957,2,2.0,0.04739336492787546
34202,3520.2100000304176,4,2.0,1.428571428540246
34209,3520.910000030433,6,2.0,0.29411764705240356
34243,3524.310000030507,8,-2.0,0.016025641025291335
34867,3586.7100000318687,6,2.0,0.023980815347198373
35284,3628.410000032779,8,-2.0,0.05347593582770714
35471,3647.110000033188,6,-2.0,0.044052863435162654
35698,3669.810000033683,4,-2.0,0.011507479861659058
36567,3756.71000003558,2,2.0,0.0284090909084708
36919,3791.9100000363483,4,-2.0,0.016129032257712454
37539,3853.9100000377016,2,2.0,0.08474576271001459
37657,3865.710000037959,4,-2.0,0.021929824560924828
38113,3911.3100000389545,2,2.0,0.049999999998908605
38313,3931.310000039391,4,-2.0,0.011037527593578003
39219,4021.910000041369,2,-2.0,99.99999999781721
39220,4021.9200000413693,0,,
