index,t,n,dn,rates
3,100.3100000000144,8,-2.0,0.036363636363617745
278,127.81000000002848,6,2.0,0.4347826086959993
301,130.11000000002664,8,-2.0,1.1111111111120866
310,131.01000000002585,6,-2.0,0.06024096385547658
476,147.61000000001073,4,-2.0,0.0628930817610635
635,163.50999999999627,2,2.0,0.047846889952196624
844,184.40999999997726,4,-2.0,0.030959752322009582
1167,216.70999999994788,2,2.0,0.0158730158730303
1797,279.7099999998906,4,-2.0,0.016977928692714916
2386,338.6099999998371,2,2.0,0.058139534883774
2558,355.8099999998214,4,2.0,0.16393442622965576
2619,361.9099999998159,6,-2.0,0.17857142857159097
2675,367.5099999998108,4,-2.0,0.02288329519452888
3112,411.20999999977096,2,2.0,2.5000000000019185
3116,411.60999999977065,4,1.0,10.000000000009095
3117,411.70999999977056,5,-1.0,0.010020040080169434
4115,511.5099999996798,4,-2.0,0.07462686567170934
4249,524.9099999996677,2,-2.0,100.00000000009095
4250,524.9199999996677,0,,
