index,t,n,dn,rates
578,157.81000000000142,6,-2.0,0.023529411764727268
1003,200.3099999999628,4,2.0,0.009765625000008878
2027,302.7099999998697,6,2.0,0.2777777777780348
2063,306.30999999986636,8,2.0,0.27777777777802165
2099,309.9099999998632,10,2.0,0.9090909090917829
2110,311.00999999986215,12,-2.0,1.0000000000009095
2120,312.00999999986124,10,2.0,0.0854700854701632
2237,323.7099999998506,12,-2.0,0.15384615384629377
2302,330.2099999998447,10,-2.0,0.08771929824569381
2416,341.6099999998343,8,-2.0,0.010741138560697208
3347,434.7099999997496,6,2.0,0.021881838074418125
3804,480.4099999997081,8,2.0,0.6250000000005684
3820,482.0099999997066,10,-2.0,0.20408163265324447
3869,486.9099999997022,8,-2.0,0.013568521031219938
4606,560.6099999996352,6,2.0,0.16129032258079185
4668,566.8099999996296,8,-2.0,0.022727272727293458
5108,610.8099999995894,6,2.0,0.34482758620719667
5137,613.7099999995869,8,2.0,0.09803921568636367
5239,623.9099999995776,10,2.0,0.0628930817610635
5398,639.8099999995632,12,-2.0,0.07042253521133165
5540,654.0099999995502,10,2.0,0.06802721088441561
5687,668.7099999995369,12,-2.0,0.3125000000002842
5719,671.909999999534,10,-2.0,2.000000000001819
5724,672.4099999995335,8,-2.0,0.05128205128209822
5919,691.9099999995157,6,2.0,0.09900990099018683
6020,702.0099999995067,8,-2.0,3.3333333333388913
6023,702.3099999995062,6,2.0,0.03125000000002831
6343,734.3099999994772,8,2.0,0.05291005291010103
6532,753.20999999946,10,-2.0,0.012987012987024779
7302,830.2099999993901,8,2.0,0.07518796992488105
7435,843.5099999993779,10,-2.0,0.0632911392405639
7593,859.3099999993635,8,-2.0,0.020449897750529848
8082,908.209999999319,6,2.0,0.029673590504478126
8419,941.9099999992883,8,-2.0,0.010834236186358703
9342,1034.2099999992045,6,2.0,0.0546448087432191
9525,1052.5099999991878,8,-2.0,0.04310344827590127
9757,1075.7099999991667,6,4.0,5.000000000010232
9759,1075.9099999991663,10,-2.0,0.4347826086960046
9782,1078.2099999991644,8,-2.0,0.006257822277853001
11380,1238.009999999019,6,2.0,2.5000000000022737
11384,1238.4099999990187,8,1.0,10.000000000009095
11385,1238.5099999990186,9,-1.0,10.000000000009095
11386,1238.6099999990186,8,-2.0,0.013297872340437627
12138,1313.8099999989502,6,2.0,1.1111111111121217
