index,t,n,dn,rates
68,106.81000000001774,6,-2.0,0.010416666666672882
1028,202.80999999996047,4,2.0,0.022831050228331238
1466,246.6099999999207,6,2.0,0.11494252873573635
1553,255.3099999999128,8,-2.0,0.029154518950463833
1896,289.6099999998816,6,-2.0,0.03225806451615843
2206,320.60999999985336,4,2.0,0.08196721311482827
2328,332.8099999998423,6,2.0,0.3225806451615837
2359,335.9099999998395,8,-2.0,0.041666666666704565
2599,359.90999999981767,6,-2.0,0.045248868778321696
2820,382.00999999979757,4,-2.0,0.02457002457004688
3227,422.7099999997606,2,2.0,0.017452006980818665
3800,480.0099999997085,4,-2.0,0.019841269841287888
4304,530.4099999996627,2,2.0,0.013908205841459104
5023,602.3099999995973,4,2.0,5.0000000000045475
5025,602.5099999995971,6,-2.0,0.0628930817610635
5184,618.4099999995826,4,2.0,1.4285714285727278
5191,619.109999999582,6,-2.0,0.06211180124229295
5352,635.2099999995672,4,2.0,0.01422475106686929
6055,705.5099999995032,6,-2.0,0.003580379520232398
8848,984.8099999992494,4,2.0,10.000000000009095
8849,984.9099999992493,6,1.0,9.999999999997726
8850,985.0099999992493,7,-1.0,0.016638935108168305
9451,1045.1099999991943,6,-2.0,0.032786885245931215
9756,1075.6099999991668,4,2.0,0.10204081632662106
9854,1085.4099999991581,6,-2.0,0.004244482173178741
12210,1321.0099999989434,4,2.0,0.15873015873029736
12273,1327.3099999989379,6,-2.0,0.0632911392405639
12431,1343.1099999989235,4,2.0,0.035087719298277524
12716,1371.6099999988976,6,2.0,0.5000000000004547
12736,1373.6099999988958,8,-2.0,0.010952902519177514
13649,1464.909999998813,6,-2.0,0.006662225183217262
15150,1615.0099999986762,4,2.0,0.2083333333335228
15198,1619.8099999986719,6,-2.0,0.015698587127172835
15835,1683.509999998614,4,-2.0,0.004280821917812125
18171,1917.1099999984008,2,2.0,0.005858230814268324
19878,2087.8099999991514,4,2.0,0.1538461538427957
19943,2094.3099999992933,6,-2.0,0.016207455429143796
20560,2156.01000000064,4,2.0,0.02398081534719811
20977,2197.7100000015507,6,-2.0,0.005861664712650497
22683,2368.310000005274,4,2.0,0.03154574132423256
23000,2400.010000005966,6,2.0,0.02531645569565022
23395,2439.510000006828,8,-2.0,0.03861003860919516
23654,2465.4100000073936,6,-2.0,0.05617977527967259
23832,2483.210000007782,4,2.0,0.35714285713511945
23860,2486.010000007843,6,-2.0,0.012578616351926622
24655,2565.5100000095786,4,2.0,0.19999999999561624
24705,2570.510000009688,6,-2.0,0.04504504504406273
24927,2592.7100000101723,4,2.0,0.047846889951108716
25136,2613.6100000106285,6,-2.0,0.005224660396960147
27050,2805.0100000148063,4,2.0,1.9999999999581632
27055,2805.510000014817,6,1.0,9.999999999736247
27056,2805.6100000148194,7,-1.0,9.999999999781721
27057,2805.7100000148216,6,-2.0,0.04366812226979004
27286,2828.610000015321,4,2.0,0.08620689654983567
27402,2840.210000015575,6,2.0,0.031152647974397443
27723,2872.3100000162763,8,-2.0,0.13333333333043912
27798,2879.810000016439,6,-2.0,0.10752688171808303
27891,2889.110000016642,4,2.0,0.025773195875726084
28279,2927.910000017489,6,2.0,0.9090909090710656
28290,2929.010000017513,8,-2.0,0.20833333332878587
28338,2933.8100000176178,6,2.0,0.4166666666576507
28362,2936.2100000176697,8,-2.0,0.012853470436737355
29140,3014.0100000193684,6,2.0,0.014430014429699548
29833,3083.3100000208806,8,-2.0,0.01960784313682638
30343,3134.310000021995,6,2.0,0.02331002330951475
30772,3177.210000022931,8,-2.0,0.3999999999913416
30797,3179.7100000229852,6,-2.0,0.014925373134002468
31467,3246.710000024448,4,2.0,4.999999999902229
31469,3246.910000024452,6,-2.0,0.2564102564046894
31508,3250.8100000245367,4,-2.0,0.05208333333219276
31700,3270.010000024957,2,-2.0,99.99999999781721
31701,3270.0200000249574,0,,
