index,t,n,dn,rates
8,180.09999999999405,4,-2.0,0.003999999999999436
33,430.1000000000293,2,1.0,0.09999999999997612
34,440.1000000000317,3,-1.0,0.011111111111108607
43,530.100000000052,2,2.0,0.019999999999995497
48,580.1000000000632,4,-2.0,0.004166666666665718
72,820.1000000001179,2,2.0,0.016666666666662847
78,880.1000000001317,4,2.0,0.019999999999995542
83,930.1000000001428,6,-2.0,0.09999999999997498
84,940.1000000001453,4,2.0,0.09999999999997726
85,950.1000000001476,6,-2.0,0.004000000000002298
110,1200.100000000004,4,-2.0,0.05000000000004547
112,1220.0999999999858,2,2.0,0.0200000000000181
117,1270.0999999999406,4,-2.0,0.011111111111121244
126,1360.0999999998585,2,4.0,0.016666666666681762
132,1420.0999999998041,6,-2.0,0.05000000000004661
134,1440.0999999997855,4,2.0,0.10000000000008867
135,1450.0999999997766,6,2.0,0.033333333333363906
138,1480.0999999997491,8,-2.0,0.0200000000000181
143,1530.0999999997039,6,2.0,0.02500000000002288
147,1570.0999999996673,8,-2.0,0.0333333333333634
150,1600.0999999996402,6,-2.0,0.05000000000004604
152,1620.0999999996218,4,-2.0,0.012500000000011334
160,1700.0999999995493,2,2.0,0.05000000000004661
162,1720.0999999995306,4,-2.0,0.0200000000000181
167,1770.0999999994854,2,-2.0,10.000000000009095
168,1770.1999999994853,0,,
