index,t,n,dn,rates
1,110.09999999999802,6,-2.0,0.011111111111111748
10,200.09999999999286,4,2.0,0.025000000000001403
14,240.09999999999062,6,2.0,0.01999999999999726
19,290.09999999999746,8,-2.0,0.01428571428571106
26,360.10000000001327,6,-1.0,0.09999999999997555
27,370.1000000000157,5,-1.0,0.01666666666666289
33,430.1000000000293,4,-2.0,0.002380952380951839
75,850.1000000001249,2,2.0,0.01666666666666291
81,910.1000000001384,4,-2.0,0.0030303030303046002
114,1240.0999999999674,2,2.0,0.005000000000004548
134,1440.0999999997855,4,2.0,0.004545454545458675
156,1660.0999999995856,6,2.0,0.10000000000009322
157,1670.0999999995763,8,1.0,0.10000000000008641
158,1680.0999999995677,9,-1.0,0.0200000000000181
163,1730.0999999995224,8,-4.0,0.05000000000004661
165,1750.0999999995038,4,-2.0,0.004545454545458675
187,1970.099999999304,2,2.0,0.05000000000004661
189,1990.0999999992853,4,-4.0,10.000000000009095
190,1990.1999999992852,0,,
