index,t,n,dn,rates
5,150.09999999999576,8,-2.0,0.005882352941176176
22,320.1000000000043,6,-2.0,0.002272727272726756
66,760.1000000001043,4,2.0,0.04999999999998863
68,780.1000000001088,6,2.0,0.016666666666662815
74,840.1000000001227,8,-2.0,0.01666666666666294
80,900.1000000001361,6,2.0,0.03333333333332588
83,930.1000000001428,8,-2.0,0.09999999999997498
84,940.1000000001453,6,-2.0,0.0499999999999892
86,960.1000000001496,4,2.0,0.009090909090911356
97,1070.1000000001222,6,-2.0,0.10000000000009095
98,1080.1000000001131,4,-2.0,0.10000000000009095
99,1090.100000000104,2,3.0,0.10000000000009095
100,1100.100000000095,5,-1.0,0.011111111111121244
109,1190.1000000000129,4,2.0,0.10000000000008867
110,1200.100000000004,6,2.0,0.03333333333336365
113,1230.0999999999767,8,-4.0,0.10000000000009322
114,1240.0999999999674,4,-2.0,0.025000000000022594
118,1280.0999999999312,2,2.0,0.016666666666681824
124,1340.0999999998767,4,2.0,0.02000000000001819
129,1390.0999999998312,6,-4.0,0.0333333333333634
132,1420.0999999998041,2,-2.0,10.000000000009095
133,1420.199999999804,0,,
