index,t,n,dn,rates
1119,211.90999999995225,4,2.0,0.022988505747147343
1554,255.40999999991269,6,2.0,0.2941176470590935
1588,258.80999999990956,8,2.0,0.7142857142863349
1602,260.20999999990835,10,-2.0,0.04065040650410192
1848,284.80999999988603,8,2.0,0.1333333333334546
1923,292.3099999998792,10,-2.0,0.06134969325158975
2086,308.6099999998643,8,2.0,0.062111801242292514
2247,324.7099999998497,10,2.0,5.0000000000045475
2249,324.9099999998495,12,-2.0,0.06993006993013354
2392,339.2099999998365,10,-2.0,0.040485829959551085
2639,363.909999999814,8,2.0,0.28571428571454094
2674,367.40999999981085,10,-2.0,0.030303030303057917
3004,400.4099999997808,8,-2.0,0.028089887640474896
3360,436.0099999997485,6,-2.0,0.021834061135391065
3818,481.8099999997068,4,2.0,0.08547008547016278
3935,493.5099999996962,6,-2.0,0.007639419404132228
5244,624.4099999995773,4,2.0,0.014903129657241597
5915,691.5099999995161,6,-2.0,0.02840909090911675
6267,726.7099999994841,4,2.0,0.13157894736854073
6343,734.3099999994772,6,2.0,0.0740740740741427
6478,747.8099999994647,8,-2.0,0.018656716417927335
7014,801.4099999994162,6,-2.0,0.007479431563207999
8351,935.1099999992946,4,2.0,0.016447368421067622
8959,995.9099999992392,6,-2.0,0.5882352941181821
8976,997.6099999992376,4,2.0,0.3225806451615837
9007,1000.7099999992348,6,2.0,0.05586592178775995
9186,1018.6099999992186,8,-2.0,0.09523809523818186
9291,1029.109999999209,6,2.0,0.07299270072999339
9428,1042.8099999991966,8,2.0,0.015649452269184867
10067,1106.7099999991383,10,-2.0,0.03289473684213518
10371,1137.1099999991106,8,1.0,9.999999999986358
10372,1137.2099999991108,9,-1.0,0.666666666667273
10387,1138.7099999991094,8,-2.0,0.03333333333336365
10687,1168.7099999990821,6,2.0,0.454545454545868
10709,1170.9099999990801,8,-2.0,0.02976190476193183
11045,1204.5099999990496,6,2.0,0.1333333333334546
11120,1212.0099999990427,8,-2.0,0.8333333333342492
11132,1213.2099999990414,6,2.0,10.000000000009095
11133,1213.3099999990413,8,1.0,9.999999999986358
11134,1213.4099999990415,9,-1.0,0.8333333333339333
11146,1214.6099999990406,8,-2.0,0.02762430939229049
11508,1250.8099999990075,6,-2.0,0.47619047619096083
11529,1252.9099999990053,4,2.0,0.019379844961257935
12045,1304.5099999989584,6,-2.0,0.02409638554219072
12460,1346.0099999989204,4,2.0,0.06666666666672527
12610,1361.0099999989072,6,2.0,0.2564102564105046
12649,1364.9099999989035,8,-2.0,0.1639344262296573
12710,1371.009999998898,6,-2.0,0.028328611898042578
13063,1406.309999998866,4,2.0,10.000000000009095
13064,1406.409999998866,6,2.0,5.0000000000045475
13066,1406.6099999988658,8,-2.0,0.020920502092069037
13544,1454.4099999988227,6,2.0,0.0458715596330702
13762,1476.2099999988025,8,-2.0,0.10526315789483509
13857,1485.7099999987936,6,-2.0,0.11363636363646405
13945,1494.5099999987858,4,-2.0,0.010235414534297948
14922,1592.209999998697,2,2.0,0.021834061135391037
15380,1638.0099999986553,4,-2.0,0.024813895781660145
15783,1678.3099999986189,2,2.0,0.10526315789483509
15878,1687.80999999861,4,-2.0,0.01075268817205279
16808,1780.8099999985254,2,-2.0,100.00000000009095
16809,1780.8199999985254,0,,
