index,t,n,dn,rates
3,130.0999999999969,6,-2.0,0.02500000000000142
7,170.09999999999462,4,2.0,0.10000000000000568
8,180.09999999999405,6,4.0,0.050000000000002986
10,200.09999999999286,10,-4.0,0.009999999999999312
20,300.09999999999974,6,-2.0,0.019999999999995407
25,350.1000000000112,4,2.0,0.011111111111108584
34,440.1000000000317,6,-2.0,0.03333333333332588
37,470.1000000000384,4,2.0,0.049999999999988776
39,490.1000000000429,6,-2.0,0.016666666666662878
45,550.1000000000565,4,-2.0,0.019999999999995452
50,600.1000000000679,2,2.0,0.033333333333325756
53,630.1000000000747,4,-2.0,0.011111111111108584
62,720.1000000000952,2,2.0,0.09999999999997726
63,730.1000000000975,4,2.0,0.019999999999995452
68,780.1000000001088,6,-4.0,0.012499999999997194
76,860.1000000001268,2,-2.0,9.999999999997726
77,860.2000000001268,0,,
