index,t,n,dn,rates
1484,248.40999999991902,6,2.0,0.11904761904772651
1568,256.80999999991144,8,-2.0,0.031847133757990746
1882,288.2099999998829,6,2.0,0.13513513513525804
1956,295.60999999987615,8,-2.0,0.227272727272934
2000,300.00999999987215,6,-2.0,0.015220700152220846
2657,365.7099999998124,4,2.0,0.03289473684213518
2961,396.10999999978475,6,2.0,0.0628930817610635
3120,412.0099999997703,8,-2.0,0.17241379310360508
3178,417.809999999765,6,-2.0,0.7142857142863639
3192,419.20999999976374,4,-2.0,0.017301038062299472
3770,477.00999999971117,2,1.0,10.00000000000341
3771,477.10999999971114,3,-1.0,0.007524454477057257
5100,610.0099999995903,2,-2.0,100.00000000009095
5101,610.0199999995903,0,,
