,data_dir,num_odd_events,num_odd_frames,num_odds,num_total,percent_odd,percent_odd_frames_that_are_events,set_odd,tmax,tmin
0,Data/input/tip_log_chaos_circle6_sigma_12_threshold_0.6_wrapping_true_at_time_3600.0.csv,102,285,102,518,19.69111969111969,0.35789473684210527,[ 1  3 -1 -3],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.7_wrapping_true_at_time_1800.0.csv,22,101,22,128,17.1875,0.21782178217821782,[ 1 -1],1800.0,0.2
0,Data/tip_log_chaos_circle6_sigma_4_threshold_0.7_wrapping_true_at_time_5400.0.csv,252,1883,252,859,29.336437718277065,0.13382899628252787,[ 1  5 -1 -3],5400.0,0.2
0,Data/input/tip_log_chaos_circle6_starting_at_5400.0_sigma_0.1_threshold_0.95_wrapping_true_at_time_1485.2.csv,232,1975,232,2066,11.22942884801549,0.11746835443037974,[ 1  3  5 -1 -3],1485.1,0.2
0,Data/input/tip_log_chaos_circle6_starting_at_5400.0_sigma_0.01_threshold_0.95_wrapping_true_at_time_1455.7.csv,229,1931,229,2014,11.370407149950347,0.11859140341791817,[ 1  3  5 -1 -3],1455.6,0.2
0,Data/input/tip_log_chaos_circle6_starting_at_5400.0_sigma_0.001_threshold_0.99_wrapping_true_at_time_1464.9.csv,239,1991,239,2050,11.658536585365853,0.12004018081366148,[ 1  3  5 -1 -5 -3],1464.8,0.2
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.7_wrapping_true_at_time_5400.0.csv,252,1883,252,859,29.336437718277065,0.13382899628252787,[ 1  5 -1 -3],5400.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_2_threshold_0.6_wrapping_true_at_time_5400.0.csv,186,1590,186,837,22.22222222222222,0.1169811320754717,[ 1  3 -1 -3],5400.0,0.2
0,Data/input/tip_log_chaos_circle6_starting_at_5400.0_sigma_0.001_threshold_0.95_wrapping_true_at_time_1461.1.csv,230,1947,230,2026,11.352418558736426,0.11813045711350796,[ 1  3  5 -1 -3],1461.0,0.2
0,Data/input/tip_log_chaos_circle6_starting_at_5400.0_sigma_0.001_threshold_0.999_wrapping_true_at_time_1468.7.csv,240,2007,240,2055,11.678832116788321,0.11958146487294469,[ 1  3  5 -1 -5 -3],1468.6,0.2
