s,t,x,y
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 19), (21, 10), (22, 10), (24, 10), (25, 21))",20.0,"([48.538835312575856], [53.276796310924, 52.79128989560368], [73.90758467718081, 125.50115322659826, 165.47710358138562, 245.5827873860048], [495.970553168049, 555.9953905474067], [269.40159099155693, 257.0459741063926], [271.48321624633166, 289.82192392879074], [27.62153323275091, 50.97980072679371], [64.0009641356152, 85.03261201431356], [134.96269858619578, 109.0561092706682], [100.78273367012446], [132.35685790754962], [266.5825573488079], [190.28548659124442, 176.15915445298324], [235.713162228787, 256.95986726025035], [265.49242708061234, 272.9629000211228], [393.3997526631884, 310.7793362857339], [401.38873911898565], [529.3601644093942], [534.4015187498085, 521.828844527791], [534.0699443338831], [575.0198913523523, 563.7956090696957], [582.3855728668127])","([7.351297569488502], [242.88899998334227, 265.24995370125794], [296.6884908393094, 389.0494795928249, 316.3791578523577, 226.23438199277572], [380.48948591087935, 375.5118864491697], [339.56986439033955, 344.6605262774076], [377.00656305306126, 344.6128013541754], [66.94315885909221, 45.26831900247662], [505.9406009917267, 512.4829912235936], [160.10740337757886, 143.80832705689446], [4.725996461799546], [575.5813951181444], [510.3060545542772], [81.87133871559124, 16.7323085509307], [167.75647133632182, 160.03526585693066], [208.81730240641713, 172.32766433326714], [167.10874701885757, 144.05232718717852], [579.9673330644059], [593.1460108499505], [134.88489049623715, 107.80857110779448], [2.4707417401058196], [314.7996741072035, 247.86734338808353], [23.80924046643941])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 19), (21, 10), (22, 10), (24, 10), (25, 21))",20.0,"([48.45305133092029], [53.28171448310658, 52.943945588605885], [73.9070434715706, 125.50176887273166, 165.47772868506016, 245.47744713197352], [496.1226449422224, 555.9950164876171], [269.3215691879736, 257.05232235413087], [271.66806759441084, 289.86658810290646], [27.62256895871195, 50.98052028139637], [64.00062861835657, 84.8089265921985], [134.96166560546104, 109.15539262011214], [100.78395235392327], [132.356189702056], [266.58287809679854], [190.28571073738544, 176.16033388784507], [235.86147569859864, 256.95879587738], [265.52915164122163, 272.9165542556086], [393.39876940105023, 310.77954024155133], [401.3288753803738], [529.3677800474361], [534.4019585411397, 521.8294722961109], [534.0053479475231], [575.0201947724522, 563.7962080073182], [582.3862068826544])","([7.398651336112604], [242.8969761496697, 264.84773245555624], [296.68937960939235, 389.04989675556635, 316.37898391053625, 226.21463621713906], [380.40910392517924, 375.5125844112263], [339.60323976799634, 344.6576726955039], [376.96394042355695, 344.6880794529793], [66.94362843312634, 45.268621870359176], [505.9401029523649, 512.5910319521887], [160.107734593021, 143.77571921004449], [4.725378849971667], [575.5810608741327], [510.3056925880641], [81.87059600293875, 16.732507185896438], [167.77989527752132, 160.03444447305404], [208.63035436817222, 172.352916861416], [167.10959496221759, 144.05294552105264], [580.0229706073529], [593.1937165653173], [134.8844601801789, 107.8091727314554], [2.4360437770493335], [314.7988155754537, 247.8674267003233], [23.808768755081022])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 19), (21, 10), (22, 10), (24, 10), (25, 21))",20.0,"([48.45320178036896], [53.28057836603108, 52.94318836137337], [73.92263500304293, 125.29671427758224, 165.47834742212552, 245.47186708234926], [496.25743701313115, 555.9946430386284], [269.1545101058807, 257.05236796780673], [271.7429375886983, 289.9715478108136], [27.623588972189033, 50.981226474884224], [63.99793211577986, 84.81020454849505], [134.9606376373026, 109.15513862694552], [100.86634752387099], [132.35552947103795], [266.5881655671567], [190.28593505191313, 176.16104891906338], [235.86130138330378, 256.9577378631413], [265.54753683780774, 272.9172839096513], [393.36545617483455, 310.8350645526169], [401.26552892860377], [529.3805998003068], [534.2555826434465, 521.8300988658892], [533.8628746194382], [575.032535386243, 563.7968005220672], [582.4423793568736])","([7.397834939025137], [242.89646294673585, 264.84845860797753], [296.68260100620455, 389.01478654093887, 316.3788117402923, 226.21425876695935], [380.3382203018964, 375.5132812335831], [339.6735271724688, 344.6567220875736], [376.94690136000344, 344.8659163418033], [66.94408055282537, 45.26891865002585], [505.993972428151, 512.5908821561279], [160.10806420122825, 143.7763235243233], [4.71589666096685], [575.5807306190446], [510.3187498361067], [81.86985273233384, 16.73309450784821], [167.77905335992506, 160.03350848967153], [208.53875183628367, 172.35333387248724], [167.01381895375997, 143.95821728968195], [580.0814620261473], [593.2836770727822], [134.80092309036795, 107.80977320649043], [2.341447563172317], [314.7973609780482, 247.86750911559136], [23.842266871541728])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 19), (21, 10), (22, 10), (24, 10), (25, 21))",20.0,"([48.422962853046755], [53.279414009717414, 52.94335075770397], [73.92232826546348, 125.07130838071305, 165.4600463382174, 245.47206334376875], [496.34543709183333, 555.9942704765474], [269.14361367304684, 257.11816164263655], [271.9401616247219, 289.9716980968981], [27.62460207546597, 50.98191852248822], [63.99576596624173, 84.55787110248006], [134.95961469565395, 109.15488730853018], [100.86584234230989], [132.3615768950211], [266.6520554247709], [190.2861595399963, 176.16176067360095], [235.87483544773298, 256.9567007673988], [265.5491495095402, 272.91798613570944], [393.364400843456, 310.83525296284915], [401.26530826053073], [529.3946553055775], [534.2560545406512, 521.8307238738945], [533.8238285215032], [575.032834945106, 563.7973835599937], [582.4773032199264])","([7.414045700753398], [242.89589154791005, 264.8467382698278], [296.68337149747697, 388.9759749910824, 316.35971034003853, 226.21498890447424], [380.2920866409106, 375.5139777045804], [339.6775462788908, 344.63614836084986], [376.90148698560967, 344.865384585614], [66.94453988505967, 45.269209484847714], [506.0773973857731, 512.7126475077152], [160.10839219773297, 143.77692147468917], [4.715459057270028], [575.6083828794895], [510.48969184610905], [81.86910888664931, 16.73368411337615], [167.78045231994648, 160.03259101388682], [208.53415549626726, 172.35374065849015], [167.01474494493036, 143.95888619820238], [580.0810305851561], [593.3831521001354], [134.80048396298858, 107.81037269256709], [2.313331976745128], [314.79649943505575, 247.86759659856088], [23.862745658402076])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 19), (21, 10), (22, 10), (24, 10), (25, 21))",20.1,"([48.42327757812836], [53.277736269725835, 52.943028730012415], [73.9217892792841, 125.07203321746306, 165.4606704584453, 245.4722562141706], [496.41179868902566, 555.9938982608836], [268.94823447963427, 257.2373188555821], [271.9397108581773, 290.034164887194], [27.625603863952964, 50.9825945819716], [63.99543621763328, 84.55939269298176], [134.95859679443436, 109.1835146478384], [100.86533801152956], [132.3609179855874], [266.66361538268904], [190.2863842067935, 176.1624721572236], [235.87466233185194, 256.9556845752654], [265.56308682825335, 272.9186725106818], [393.36335138267214, 310.8400407097149], [401.2650927501716], [529.3967146429186], [534.2565195785194, 521.8313480059411], [533.8232866052314], [575.0331365705845, 563.7960005362263], [582.4777618393607])","([7.413162187821383], [242.8945824912634, 264.84634585876233], [296.68424631936705, 388.97646039578245, 316.3595435036643, 226.2157064861485], [380.2573976972007, 375.51467222731725], [339.760746051609, 344.5996156135482], [376.9019501985771, 344.9753033479182], [66.94499408726641, 45.269494704103366], [506.0769330652772, 512.712395900905], [160.1087185780721, 143.76792056336657], [4.715027208858269], [575.6080528062936], [510.5195052563716], [81.86836444879226, 16.73427349448274], [167.77963098636866, 160.031692028911], [208.46562198808573, 172.35413113114944], [167.0156657849994, 143.95176551768222], [580.0806092283117], [593.3853601984514], [134.8000512186148, 107.81097083056551], [2.310386170268563], [314.79563194839614, 247.87150773862734], [23.862169147677566])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 19), (21, 10), (22, 10), (24, 10), (25, 21))",20.1,"([48.35157495972692], [53.27608921728168, 52.95959459406237], [73.92125915637584, 125.07275337624303, 165.46128813659107, 245.47244573145483], [496.4116626812922, 555.9935266672749], [268.87320385432463, 257.2802249849221], [272.1855737267554, 290.0549015366671], [27.62659433995365, 50.9832583730103], [63.99356617593042, 84.56082771832074], [134.96153500493057, 109.18325523341875], [100.9007323046601], [132.36333746840373], [266.6643946360849], [190.28660905745295, 176.16318337862833], [235.87894130279523, 256.95482856409086], [265.5937820729107, 272.9091689969654], [393.36230777175825, 310.84023196204237], [401.2647785404197], [529.3987255558209], [534.1919841885101, 521.8319708981282], [533.8227554143195], [575.0334402595416, 563.7940963892439], [582.594226837878])","([7.452556714259923], [242.89329737857597, 264.80053114594784], [296.6851109794165, 388.97693908026923, 316.3593783893519, 226.21641153387907], [380.25783339961504, 375.51536558935214], [339.7933428358833, 344.5858740206321], [376.8393616983112, 345.0136774563851], [66.94544316049003, 45.269773662711444], [506.15225665345235, 512.7121757099917], [160.10378184100279, 143.76852122918186], [4.710653852409166], [575.6205980242942], [510.52029919256955], [81.86761940170425, 16.734862658372382], [167.77954298123592, 160.03338010634423], [208.31034954976155, 172.35990801959537], [167.01658149215186, 143.95241722643598], [580.080294762741], [593.3875163742777], [134.76276685136017, 107.81156778034268], [2.3074935814022943], [314.79475852709123, 247.8764298207739], [23.93236036396438])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 18), (21, 10), (22, 10), (24, 10), (25, 20))",20.1,"([48.23017737967846], [53.39343083706828, 52.95949885049649], [73.92125827286696, 124.97605050282225, 165.4618993752576, 245.4405418765977], [496.52647660601417, 555.9931556995436], [268.6917665344225, 257.2802800279824], [272.2098347063272, 290.13957419075655], [27.626632303194995, 50.97558735026334], [63.99016934136325, 84.40774289309206], [134.96052087995878, 109.1829985876084], [100.90022290964966], [132.3626870805065], [266.6951567467638], [190.28683409711215, 176.1718124840509], [235.8787737488629, 256.95553379953486], [265.6002440117469, 272.90974868300015], [393.3363390404357, 310.8404140523319], [401.2564555996337], [529.4229007874995], [534.191858802367, 521.8325925367607], [533.7036157372405], [575.0337460087442, 563.7596169061177], [582.6337339945871])","([7.519684096589495], [243.06804359541547, 264.79956428297004], [296.6857190013559, 388.9611868698851, 316.3592149964055, 226.21095078770827], [380.1975743884272, 375.5160577835529], [339.87299887944386, 344.584968567882], [376.8333344776656, 345.1824634538008], [66.94323222124015, 45.27150813263288], [506.30089958013974, 512.7862964860662], [160.10410906902774, 143.76911548437062], [4.710225953217236], [575.6202691293494], [510.60168747516], [81.86687372836164, 16.728757873442625], [167.7787457947962, 160.06381405862254], [208.28057691114432, 172.3603138069975], [166.93362471518424, 143.95307573140187], [580.0874590144006], [593.5669680742698], [134.76199857888614, 107.81216352877341], [2.22662323532802], [314.7938791804403, 247.94502933023787], [23.955554989012])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 18), (21, 10), (22, 10), (24, 10), (25, 20))",20.1,"([48.10166975336079], [53.394216925170724, 52.996096473470416], [73.92073424095508, 124.95720920524882, 165.46229487141295, 245.43823077459052], [496.5459545770014, 555.992785361547], [268.5412043232279, 257.54044964333855], [272.21317291642436, 290.15474743728595], [27.627602517222297, 50.800648075484574], [63.98609148077137, 84.31867335026992], [134.98579397777738, 109.18274470973437], [100.9028958213549], [132.3620447264749], [266.6955034847981], [190.28718224167903, 176.17336219876123], [235.88424300864986, 256.9545627374511], [265.628946654332, 272.86648097357744], [393.3351863654257, 310.8405945059339], [401.2562532577379], [529.4249405808756], [534.1923089527627, 521.8332129081807], [533.7030373205464], [575.0340538148629, 563.7557522081316], [582.6341967485165])","([7.590716116539601], [243.07050693559805, 264.6998025524986], [296.68656903818874, 388.9588333268184, 316.35884310092206, 226.2111668421967], [380.1876559920448, 375.51674880272265], [339.93896184429326, 344.50615383875186], [376.8328161264894, 345.2119970208892], [66.94367395473195, 45.30264945665966], [506.48055141390506, 512.8296385890527], [160.06937746745828, 143.7697033304911], [4.7094525186542535], [575.6199442970535], [510.6013008659668], [81.86610291141818, 16.72862655168523], [167.7788703105582, 160.06296972887876], [208.1358034083864, 172.38404796810903], [166.93465565149285, 143.9537283175079], [580.0870671907956], [593.5691899684529], [134.76156693059974, 107.81275806276912], [2.223634647591026], [314.7929939180178, 247.95383045007674], [23.954952124360076])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 18), (21, 10), (22, 10), (24, 10), (25, 20))",20.1,"([48.033274942489314], [53.3926110730136, 52.99541657835941], [73.92021538140656, 124.86982936330381, 165.46289348463813, 245.43842349627062], [496.6869264149326, 555.9924156571764], [268.5335782896593, 257.76799280742637], [272.21288571724716, 290.1550135054117], [27.589228967225985, 50.72236978503031], [63.979834203316, 84.31960542143258], [134.98477469403872, 109.18268218882532], [100.90239974759085], [132.36141040816514], [266.69591829847764], [190.28740776960367, 176.17351175088865], [235.92457144910878, 256.9536125365028], [265.64247447608244, 272.8663443721509], [393.33403998687197, 310.8407733258254], [401.18052805013855], [529.4430884974973], [534.150676634896, 521.8338319987693], [533.6956317269559], [575.0343636744732, 563.7562016614423], [582.758247302115])","([7.628134391687864], [243.06906403378792, 264.70042367978334], [296.68741068488487, 388.94663407998013, 316.35868321490426, 226.21185114790063], [380.1136260905347, 375.51743863960036], [339.9417181825237, 344.437040036613], [376.8332408666128, 345.21170858794284], [66.83285118593858, 45.31683606324968], [506.7618222921158, 512.8296640008831], [160.0696927821262, 143.77022240670954], [4.709034128855873], [575.6196235283455], [510.6011236621423], [81.86535596416704, 16.72967985187109], [167.78461688557354, 160.0621434745734], [208.06953734215764, 172.38482069945326], [166.9356809563396, 143.95437499552057], [580.1570251630181], [593.6991528090796], [134.73723965051644, 107.81335136927778], [2.216183274290175], [314.7921027496733, 247.95418467598213], [24.02739394558058])"
"((0, 1), (1, 2), (1, 5), (1, 10), (1, 11), (1, 12), (6, 1), (8, 4), (9, 7), (10, 7), (11, 6), (11, 9), (12, 7), (14, 8), (15, 8), (15, 10), (17, 15), (17, 18), (21, 10), (22, 10), (24, 10), (25, 20))",20.1,"([48.03302776154477], [53.45375732726208, 53.038882539632425], [74.08384833414863, 124.87050364553951, 165.4634856646748, 245.43861269207244], [496.6869194107088, 555.9920465903568], [268.3898689471536, 257.7701863398407], [272.2124735198897, 290.2309412254224], [27.527090048607793, 50.7230521880799], [63.977367101322415, 84.32090942021607], [135.05364182676794, 109.18243368341794], [101.02805142857282], [132.36078412741335], [266.75771612449256], [190.28763350193768, 176.17422080710406], [235.92441778631695, 256.95268318676017], [265.65702847313077, 272.86695210885995], [393.3328998816701, 310.86287130474904], [401.1577662273474], [529.4458145771757], [534.1282444930044, 521.8344497949452], [533.6950776524677], [575.0346755840557, 563.7567834325853], [582.7586247026907])","([7.627519624288576], [243.16957034688048, 264.58086363633015], [296.6103029452451, 388.9470924198058, 316.35852504715274, 226.21252293410697], [380.11399616682934, 375.5181272868618], [340.0046448229528, 344.4354647569815], [376.83368556623316, 345.3628267515392], [66.65442194372025, 45.317129974260844], [506.86039425154587, 512.8295001779646], [159.97738942653345, 143.7707975641213], [4.693975711812564], [575.6193068241537], [510.7654988787107], [81.86460833991308, 16.730259075212505], [167.78384466218952, 160.06133535158912], [207.99804006023072, 172.38517214474675], [166.93670065038881, 143.91805148228647], [580.1776401047196], [593.7068388357319], [134.7238086806159, 107.81394343528386], [2.2132944961202505], [314.791205685529, 247.95426654855694], [24.02676230501145])"
