t,n,dn,rates
1000.7499999993636,12,-2.0,0.2580645161292594
1004.6249999993602,10,-2.0,0.05891016200299909
1021.5999999993447,8,2.0,0.05665722379586255
1039.2499999993981,10,2.0,0.06814310051082641
1053.9249999994513,12,-2.0,0.01808318264007888
1109.2249999996525,10,2.0,0.04678362573082395
1130.5999999997302,12,2.0,0.7999999999970896
1131.8499999997348,14,-2.0,0.05797101449254272
1149.0999999997975,12,-2.0,1.9999999999918145
1149.5999999997996,10,-2.0,0.03202562049628084
1180.824999999913,8,2.0,3.076923076914036
1181.149999999914,10,-2.0,4.99999999998181
1181.3499999999146,8,-2.0,0.7017543859623593
1182.7749999999198,6,2.0,0.3508771929811237
1185.6249999999307,8,2.0,0.06908462866987065
1200.099999999983,10,2.0,0.38095238095099504
1202.7249999999926,12,-2.0,0.5479452054774586
1204.5499999999993,10,2.0,0.03162055335956853
1236.1750000001146,12,2.0,0.20725388600961847
1241.0000000001319,14,-2.0,0.3030303030291797
1244.300000000144,12,-2.0,0.08714596949859536
1255.7750000001856,10,-2.0,0.031104199066761092
1287.9250000003024,8,2.0,0.06182380216360729
1304.1000000003614,10,-2.0,0.14705882352887678
1310.9000000003862,8,2.0,13.333333333284827
1310.9750000003864,10,-2.0,0.14336917562672324
1317.9500000004116,8,2.0,0.04119464469603924
1342.2250000005001,10,2.0,0.38461538461398537
1344.8250000005096,12,-2.0,0.03527336860657362
1373.1750000006127,10,2.0,0.17543859649058982
1378.8750000006335,12,-2.0,0.29850746268550143
1382.2250000006454,10,-2.0,0.09661835748756908
1392.5750000006833,8,2.0,0.03273322422246684
1423.1250000007944,10,-2.0,0.09153318077769713
1434.0500000008344,8,-2.0,0.022484541877377563
1478.525000000996,6,2.0,0.015186028853399628
1544.3750000012353,8,2.0,6.6666666666424135
1544.5250000012359,10,-2.0,0.44943820224551
1546.7500000012442,8,-2.0,0.017271157167467393
1604.6500000014548,6,2.0,0.054200542005222875
1623.100000001522,8,2.0,0.2631578947359005
1626.9000000015355,10,2.0,0.020736132711173815
1675.1250000017112,12,2.0,7.999999999985448
1675.2500000017114,14,-2.0,0.31496062992009144
1678.4250000017232,12,2.0,0.13333333333284828
1685.9250000017505,14,-2.0,0.0826446280988729
1698.0250000017945,12,2.0,2.499999999990905
1698.425000001796,14,-2.0,1.6666666666599719
1699.0250000017984,12,-2.0,0.25641025640933857
1702.9250000018124,10,-2.0,0.032441200324293984
1733.7500000019245,8,2.0,0.019950124688206814
1783.8750000021066,10,-2.0,0.00787401574800285
1910.8750000025686,8,-2.0,0.059970014992285575
1927.5500000026293,6,2.0,0.006927606511924908
2071.9000000031547,8,2.0,0.04640371229681494
2093.450000003233,10,-2.0,0.019675356615767085
2144.275000003418,8,2.0,0.06319115323831671
2160.1000000034755,10,-2.0,0.11111111111070128
2169.1000000035087,8,2.0,0.04301075268801557
2192.3500000035933,10,2.0,0.06015037593963244
2208.9750000036533,12,2.0,0.287769784171615
2212.450000003666,14,-2.0,0.5555555555535344
2214.2500000036725,12,2.0,0.0970873786404235
2224.55000000371,14,2.0,0.051746442431894545
2243.8750000037803,16,-2.0,0.32520325203133726
2246.9500000037915,14,2.0,4.99999999998181
2247.1500000037922,16,-2.0,13.333333333284827
2247.2250000037925,14,-2.0,0.025806451612809644
2285.975000003933,12,-2.0,0.007007708479301721
2428.675000004453,10,2.0,0.06472491909361756
2444.125000004509,12,-2.0,0.07312614259571203
2457.8000000045586,10,-2.0,0.024038461538374085
2499.40000000471,8,-2.0,0.007305936073032758
2636.2750000052083,6,2.0,0.011435105774686875
2723.725000005526,8,2.0,0.2941176470577142
2727.125000005539,10,2.0,0.07246376811567841
2740.925000005589,12,-2.0,0.021762785636482308
2786.875000005756,10,2.0,0.7017543859625832
2788.300000005761,12,-2.0,0.012380068090329389
2869.0750000060552,10,-2.0,0.047619047618875414
2890.075000006131,8,2.0,0.19230769230699268
2895.27500000615,10,2.0,3.6363636363504073
2895.550000006151,12,-2.0,0.2597402597393148
2899.400000006165,10,-2.0,0.11560693641575832
2908.050000006197,8,2.0,10.000000000009095
2908.150000006197,10,-2.0,1.481481481476092
2908.8250000061994,8,2.0,0.17094017093954905
2914.6750000062207,10,2.0,1.2121212121168023
2915.5000000062237,12,-2.0,0.03610108303235964
2943.2000000063244,10,2.0,0.08016032064099095
2955.67500000637,12,2.0,0.11049723756865323
2964.725000006403,14,-2.0,0.06051437216317032
2981.250000006463,12,2.0,0.0731261425957096
2994.925000006513,14,2.0,0.18433179723435245
3000.350000006533,16,-2.0,0.2962962962952583
3003.7250000065446,14,-2.0,0.19512195121878503
3008.8500000065637,12,2.0,3.6363636363564207
3009.1250000065643,14,-2.0,13.333333333203983
3009.200000006565,12,-2.0,0.3149606299201591
3012.375000006576,10,2.0,0.1999999999992724
3017.3750000065943,12,2.0,0.1215805471120197
3025.600000006624,14,2.0,39.999999999126885
3025.6250000066248,16,2.0,19.99999999992724
3025.675000006625,18,2.0,13.33333333336567
3025.7500000066248,20,-4.0,13.33333333336567
3025.8250000066246,16,2.0,19.99999999992724
3025.8750000066248,18,-2.0,0.10075566750593068
3035.800000006661,16,2.0,39.99999999985448
3035.825000006661,18,-2.0,4.999999999970441
3036.025000006662,16,-2.0,0.38461538461398537
3038.6250000066716,14,-2.0,0.058565153733317055
3055.7000000067333,12,-2.0,0.04624277456630382
3077.325000006813,10,2.0,0.23952095808296095
3081.500000006828,12,2.0,39.99999999985448
3081.525000006828,14,-2.0,0.031007751937872127
3113.775000006945,12,2.0,0.2797202797192621
3117.350000006958,14,2.0,9.999999999918145
3117.450000006959,16,-2.0,0.9756097560944446
3118.475000006962,14,-2.0,0.007810974419030362
3246.500000007428,12,2.0,0.031570639305331535
3278.1750000075426,14,2.0,1.6666666666593402
3278.7750000075453,16,-2.0,0.03568242640486573
3306.800000007647,14,2.0,0.0886917960085501
3318.075000007688,16,-2.0,0.08179959100174132
3330.300000007733,14,2.0,0.35087719298123565
3333.150000007743,16,-2.0,0.03996003995989531
3358.1750000078337,14,-2.0,0.09478672985747098
3368.7250000078725,12,-2.0,0.027434842249557598
3405.1750000080046,10,2.0,0.012410797393687327
3485.7500000082982,12,-2.0,0.06956521739105347
3500.12500000835,10,2.0,3.6363636363443943
3500.4000000083515,12,-2.0,0.019323671497514072
3552.1500000085402,10,2.0,3.6363636363504073
3552.4250000085412,12,-2.0,0.024286581663542757
3593.6000000086906,10,2.0,0.1333333333328402
3601.1000000087183,12,2.0,0.3333333333321207
3604.1000000087292,14,-2.0,0.21276595744605506
3608.800000008746,12,2.0,0.36363636363504076
3611.550000008756,14,2.0,1.5999999999941792
3612.175000008758,16,-2.0,0.11428571428530446
3620.9250000087895,14,2.0,0.5333333333312638
3622.800000008797,16,2.0,0.07692307692279708
3635.800000008844,18,-2.0,0.020554984583686785
3684.450000009021,16,-2.0,0.05856515373331549
3701.525000009083,14,2.0,0.6060606060585683
3703.1750000090888,16,-2.0,0.008548835221169978
3820.1500000095148,14,-2.0,0.01639344262289106
3881.150000009737,12,2.0,13.33333333336567
3881.225000009737,14,-2.0,2.4999999999965894
3881.6250000097375,12,-2.0,0.10050251256243926
3891.5750000097746,10,2.0,0.7843137254873428
3892.8500000097793,12,-2.0,0.6451612903200443
3894.4000000097853,10,2.0,0.03568242640486573
3922.4250000098873,12,-2.0,0.20725388600962824
3927.2500000099044,10,-2.0,0.15503875968935846
3933.700000009928,8,-2.0,0.009317493594189218
4041.0250000103188,6,-2.0,0.014265335235382214
4111.125000010298,4,2.0,0.16064257028343867
4117.3500000102085,6,2.0,0.5797101449359722
