s,t,x,y
"[(3, 2)]",2718.3,"[[206.08173120067528, 208.43219883421406]]","[[335.0111605595155, 178.93742360308724]]"
"[(3, 2)]",2718.4,"[[206.1223422632988, 208.47372624229513]]","[[335.0165359981099, 178.93173701809246]]"
"[(3, 2)]",2718.5,"[[206.16331377470848, 208.5153194911056]]","[[335.02200852966564, 178.92569479729755]]"
"[(3, 2)]",2718.6,"[[206.20463753011904, 208.4289824108108]]","[[335.02757470716244, 178.8164676698333]]"
"[(3, 2)]",2718.7,"[[206.23940717715632, 208.45321462186465]]","[[335.0390975433875, 178.7965978438462]]"
"[(3, 2)]",2718.8,"[[206.13209630689516, 208.48832179006692]]","[[335.17074404225826, 178.78514630042216]]"
"[(3, 2)]",2718.9,"[[206.1761774813058, 208.47243885215647]]","[[335.17409082606457, 178.7333126556162]]"
"[(3, 2)]",2719.0,"[[206.22064134410434, 208.51279321955164]]","[[335.17753674443037, 178.72562465440905]]"
"[(3, 2)]",2719.1,"[[206.25972856721202, 208.35279282280803]]","[[335.18582144114055, 178.56223727185227]]"
"[(3, 2)]",2719.2,"[[206.26789102737595, 208.38075124497345]]","[[335.2197597842987, 178.54529868499858]]"
"[(3, 2)]",2719.3,"[[206.30825207224086, 208.2890750875929]]","[[335.2274807157924, 178.43610151093336]]"
"[(3, 2)]",2719.4,"[[206.0880786367762, 208.31966228068134]]","[[335.44609335900986, 178.42019050215714]]"
"[(3, 2)]",2719.5,"[[206.1181138301632, 207.95198780328]]","[[335.46143036108623, 178.10485424337708]]"
"[(3, 2)]",2719.6,"[[206.1467005561636, 207.9780037541382]]","[[335.47818206433675, 178.08783594188571]]"
"[(3, 2)]",2719.7,"[[205.80745303445394, 208.00407815566683]]","[[335.7875400129151, 178.0704283741217]]"
"[(3, 2)]",2719.8,"[[205.83431251968852, 208.02359201402555]]","[[335.8042271460045, 178.04747591614282]]"
"[(3, 2)]",2719.9,"[[205.86128260692072, 208.04972272134475]]","[[335.82117699655777, 178.02846887326274]]"
"[(3, 2)]",2720.0,"[[205.8883538559523, 207.9344530418755]]","[[335.838388103446, 177.9052362973207]]"
"[(3, 2)]",2720.1,"[[205.8364254002636, 207.92779043237192]]","[[335.91713394872414, 177.86172376247998]]"
"[(3, 2)]",2720.2,"[[205.65326760451165, 207.96478392547522]]","[[336.0951651858269, 177.84957458329134]]"
"[(3, 2)]",2720.3,"[[205.69456924270798, 208.01010496271132]]","[[336.10071881838564, 177.84260163683868]]"
"[(3, 2)]",2720.4,"[[205.73632899040862, 208.0546666277984]]","[[336.10638064930805, 177.8341814542529]]"
"[(3, 2)]",2720.5,"[[205.77803913972073, 208.03750566924506]]","[[336.1125148011332, 177.78330920535302]]"
"[(3, 2)]",2720.6,"[[205.81399886875488, 208.06838290931088]]","[[336.12328276779806, 177.76522600331177]]"
"[(3, 2)]",2720.7,"[[205.85841579748043, 207.93564807028196]]","[[336.1297355304715, 177.63689185721458]]"
"[(3, 2)]",2720.8,"[[205.68000850974937, 207.97887521937986]]","[[336.2975042548265, 177.6273100162087]]"
"[(3, 2)]",2720.9,"[[205.7211854369694, 207.65750954643661]]","[[336.30649947568, 177.3766429385444]]"
"[(3, 2)]",2721.0,"[[205.7629294131077, 207.6861297790329]]","[[336.3157071273011, 177.35846598006367]]"
"[(3, 2)]",2721.1,"[[205.50397100725297, 207.70003573435807]]","[[336.5343530816041, 177.3303817428597]]"
